#Observed stellar mass range: 10.2 < log10(M*/Msun) < 10.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.247967 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 10850
#Bestfit SF galaxies in bin: 8990
#Bestfit Q galaxies in bin: 1860
#Bestfit central galaxies in bin: 8962
#Bestfit satellite galaxies in bin: 1888
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.000884025 -0.00023611 0.000877993 0.000328746 -5.26156e-05 0.000327422 0.00356788 -0.0015966 0.00355518 0.000697137 -0.000134816 0.00069369 0.00177115 -0.000241042 0.00177115 0.000000 0.057873
0.059561 0.00588894 0.00481607 0.00573464 0.00204427 0.00434099 0.00197137 0.0244715 0.00657564 0.0239719 0.00625134 0.0025887 0.00611504 0.00416868 0.0171346 0.00403099 0.057873 0.061248
0.062373 0.018541 0.00774569 0.0176693 0.00643895 0.00907404 0.00605289 0.0770343 -2.66036e-05 0.0745208 0.0129667 0.00952862 0.0123547 0.0450013 0 0.0435884 0.061248 0.063498
0.064623 0.0263971 0.020728 0.0244091 0.013394 0.0170909 0.0121197 0.0892453 0.0237838 0.0834691 0.0278528 0.0208193 0.0256919 0.0194871 0.0204482 0.0173535 0.063498 0.065748
0.066873 0.0460031 0.025723 0.0409828 0.0263351 0.0231749 0.0229145 0.141065 0.0266229 0.129975 0.0423919 0.0238522 0.037232 0.0631448 0.0267299 0.0579348 0.065748 0.067998
0.069123 0.0592994 0.038447 0.0501779 0.0363098 0.0342832 0.0307793 0.170416 0.0702441 0.150531 0.056245 0.0369303 0.0469834 0.0737985 0.0397283 0.0652534 0.067998 0.070248
0.071373 0.0888883 0.0499633 0.0724167 0.0581387 0.0429743 0.0481311 0.237511 0.0873053 0.199098 0.0859699 0.0460645 0.0697165 0.102741 0.0590745 0.0880393 0.070248 0.072498
0.073623 0.130261 0.0519475 0.0965904 0.0866543 0.0445413 0.0670209 0.341027 0.105571 0.259803 0.125559 0.0464193 0.09265 0.152579 0.0749829 0.121483 0.072498 0.074748
0.075873 0.148062 0.0759117 0.0979312 0.106449 0.0579142 0.0781704 0.349193 0.209717 0.233782 0.140188 0.0799038 0.090005 0.18544 0.0715427 0.136183 0.074748 0.076998
0.078123 0.205575 0.0950892 0.138019 0.145458 0.0817946 0.101568 0.496139 0.204003 0.34073 0.197718 0.0964216 0.128789 0.242868 0.10374 0.169176 0.076998 0.079248
0.080373 0.260024 0.0875634 0.166697 0.179648 0.0810028 0.113594 0.648506 0.188207 0.445128 0.24929 0.0854542 0.155662 0.310974 0.0727106 0.220893 0.079248 0.081498
0.082904 0.24539 0.0973338 0.14374 0.18267 0.0883767 0.110921 0.54854 0.191281 0.337163 0.240412 0.100895 0.139278 0.269022 0.115612 0.165762 0.081498 0.084311
0.085998 0.346463 0.126933 0.185224 0.258752 0.106349 0.14516 0.770398 0.230863 0.415594 0.336114 0.131101 0.179402 0.395586 0.153824 0.230027 0.084311 0.087685
0.089373 0.41004 0.161302 0.198333 0.299631 0.128432 0.152203 0.943682 0.329248 0.491669 0.398532 0.150916 0.192009 0.464665 0.231904 0.244237 0.087685 0.091061
0.092748 0.495866 0.185453 0.215559 0.356055 0.151654 0.158407 1.17162 0.337163 0.560166 0.487607 0.170781 0.209301 0.53507 0.252208 0.234513 0.091061 0.094435
0.096123 0.619187 0.226555 0.253863 0.44637 0.16094 0.196291 1.45447 0.416448 0.677445 0.601787 0.192372 0.248095 0.701782 0.328064 0.275634 0.094435 0.097811
0.099498 0.730942 0.249339 0.275554 0.552574 0.180614 0.228331 1.59305 0.52796 0.659182 0.702528 0.214497 0.267786 0.865816 0.347356 0.335175 0.097811 0.101186
0.102873 0.864364 0.255817 0.314142 0.645333 0.200254 0.247387 1.92302 0.604761 0.740446 0.836809 0.228905 0.302922 0.995162 0.335978 0.350759 0.101186 0.104560
0.106248 1.00969 0.291925 0.353331 0.741464 0.221105 0.274933 2.3061 0.620162 0.957385 0.972729 0.254232 0.345887 1.18512 0.322139 0.410259 0.104560 0.107936
0.109623 1.18502 0.312007 0.411829 0.874575 0.25658 0.31224 2.68548 0.587678 1.12359 1.14199 0.298329 0.394701 1.38923 0.430901 0.485175 0.107936 0.111310
0.112998 1.36574 0.341307 0.461512 0.994234 0.287049 0.334816 3.16136 0.691016 1.31884 1.31117 0.328808 0.448863 1.62479 0.546056 0.51577 0.111310 0.114686
