#Peak halo mass range: 13.125 < log10(Mh/Msun) < 13.375
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 3089
#Bestfit SF halos in bin: 93
#Bestfit Q halos in bin: 2996
#Bestfit central halos in bin: 2640
#Bestfit satellite halos in bin: 449
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.00910084 -0.000627428 0.00899949 0 0 0 0.00938334 -0.000641068 0.00927871 0.00822439 -0.000443846 0.00815171 0.0142541 2.38279e-05 0.0141228 0.000000 0.057873
0.059561 0.100509 0.068692 0.0973573 0.00893594 0.0224328 0.00865556 0.103351 0.07062 0.100134 0.094948 0.0632637 0.0919483 0.133204 0.0908206 0.130104 0.057873 0.061248
0.062373 0.159362 0.0748248 0.151851 0.0389314 0.0807297 0.0357575 0.163101 0.0756472 0.155444 0.155021 0.0888268 0.147309 0.18489 0.0103413 0.177475 0.061248 0.063498
0.064623 0.213267 0.103666 0.195492 0.0347867 0.111094 0.0304244 0.218807 0.102652 0.200943 0.222496 0.105183 0.204749 0.159001 0.109481 0.143896 0.063498 0.065748
0.066873 0.35014 0.22608 0.31074 0.114096 0.224613 0.0954141 0.357467 0.223226 0.317388 0.367724 0.242448 0.326083 0.246749 0.203224 0.219157 0.065748 0.067998
0.069123 0.453778 0.285838 0.385162 0.183638 0.264287 0.145322 0.462164 0.285033 0.392542 0.467206 0.292542 0.395583 0.374828 0.25698 0.323101 0.067998 0.070248
0.071373 0.64148 0.358059 0.522804 0.214221 0.38198 0.14495 0.654743 0.355329 0.533279 0.639697 0.354284 0.521374 0.651968 0.42109 0.532448 0.070248 0.072498
0.073623 0.909693 0.510037 0.701262 0.30173 0.418075 0.197597 0.928565 0.496424 0.719979 0.919126 0.500141 0.709108 0.854226 0.532214 0.65497 0.072498 0.074748
0.075873 1.11532 0.550493 0.788195 0.406628 0.413182 0.252957 1.13732 0.569901 0.805732 1.13877 0.560772 0.803563 0.977457 0.514369 0.682892 0.074748 0.076998
0.078123 1.42602 0.629081 0.963872 0.693002 0.563299 0.406985 1.44877 0.626142 0.97974 1.44065 0.654986 0.974304 1.33996 0.624076 0.90543 0.076998 0.079248
0.080373 1.66924 0.668987 1.06109 0.739611 0.633969 0.407168 1.6981 0.683723 1.07999 1.68797 0.70528 1.07328 1.55913 0.618432 1.0014 0.079248 0.081498
0.082904 1.71813 0.638111 0.991817 0.892003 0.573081 0.479021 1.74378 0.641484 1.00893 1.72522 0.63044 1.00245 1.67644 0.711167 0.978423 0.081498 0.084311
0.085998 2.60851 0.737994 1.43628 1.50855 0.977046 0.74362 2.64266 0.749032 1.45597 2.64232 0.736832 1.45827 2.40975 0.77316 1.3629 0.084311 0.087685
0.089373 3.08034 0.926314 1.53239 2.39081 0.926588 1.22484 3.10175 0.927025 1.54554 3.04203 0.93424 1.49509 3.30559 0.994266 1.7011 0.087685 0.091061
0.092748 3.90304 1.28174 1.7696 3.34594 1.1027 1.75558 3.92033 1.28275 1.77295 3.86678 1.27414 1.74916 4.11626 1.34227 1.83455 0.091061 0.094435
0.096123 4.57001 1.32641 1.97018 4.07991 0.865296 2.02201 4.58523 1.36814 1.96862 4.53663 1.27136 1.96016 4.76629 1.67481 2.00816 0.094435 0.097811
0.099498 5.52315 1.72722 2.13987 4.24712 1.80685 1.52201 5.56275 1.73864 2.14635 5.45124 1.62241 2.13592 5.94591 2.37697 2.29454 0.097811 0.101186
0.102873 6.78951 2.01089 2.59889 5.15607 3.07106 1.60249 6.84022 1.98069 2.61386 6.92535 2.01426 2.67304 5.99087 2.00899 2.01935 0.101186 0.104560
0.106248 8.10197 2.30553 2.92913 6.41709 3.08389 1.65112 8.15428 2.30196 2.94492 8.24159 2.17893 2.98228 7.28104 2.42697 2.38686 0.104560 0.107936
0.109623 9.7155 2.57514 3.3731 6.6224 3.29982 1.52403 9.81151 2.56033 3.40364 9.81236 2.58677 3.41485 9.14598 3.2245 2.92481 0.107936 0.111310
0.112998 11.0826 2.53297 3.72936 8.66378 3.86554 2.69171 11.1577 2.43627 3.76257 11.0276 2.25057 3.76223 11.4059 3.72773 3.5412 0.111310 0.114686
0.116373 11.978 3.30944 3.84077 8.98127 3.99461 2.76301 12.071 3.34582 3.86468 12.0551 3.14605 3.88706 11.5244 4.01813 3.29651 0.114686 0.118060
0.119748 13.7374 3.26073 4.27656 9.76538 7.69487 3.20038 13.8607 3.15097 4.51714 13.8659 3.12787 4.33345 12.9818 3.78472 3.93718 0.118060 0.121435
0.123123 15.459 3.55144 4.70363 11.1621 6.14044 3.17575 15.5924 3.69366 4.78512 15.2764 3.36104 4.61315 16.5326 4.50742 5.31665 0.121435 0.124811
0.126498 17.6603 3.95496 5.29373 12.4731 6.80007 3.43393 17.8214 4.13245 5.44494 17.3019 3.81243 5.14241 19.7681 5.03345 6.63515 0.124811 0.128185
0.129873 20.0469 4.31073 6.30092 15.028 6.73726 4.35363 20.2027 4.37119 6.41825 19.8192 4.30078 6.15351 21.3861 4.63385 7.00354 0.128185 0.131561
0.133248 21.9809 4.93928 7.00129 16.6339 8.28621 4.6102 22.1469 4.95153 7.07368 21.7289 4.91587 6.94881 23.4627 5.07329 7.28775 0.131561 0.134935
0.137045 24.0535 5.66321 7.48829 17.1013 6.88053 4.99635 24.2694 5.65039 7.57206 23.6379 5.4241 7.43862 26.4972 6.16082 8.47641 0.134935 0.139154
0.141685 28.1438 6.52603 8.79906 19.3174 8.63014 5.25389 28.4178 6.40611 8.95736 27.3126 6.39119 8.61545 33.0307 8.31734 10.825 0.139154 0.144217
0.146748 34.0233 7.79614 10.7302 22.6453 12.1857 6.17233 34.3765 7.72313 10.9912 32.7401 7.5739 10.3069 41.5685 10.6269 13.8755 0.144217 0.149279
0.151810 38.3553 8.92832 12.1979 26.4596 12.3335 7.9515 38.7246 8.79092 12.4335 36.8407 8.49878 11.8237 47.2605 10.8393 14.611 0.149279 0.154342
0.156873 43.6922 10.3123 13.7032 32.9373 12.5 12.1374 44.026 10.2235 13.895 42.2421 9.47265 13.2339 52.2185 14.0482 15.4116 0.154342 0.159404
0.161935 47.7994 11.0152 14.572 36.5241 11.9166 14.9054 48.1494 11.2482 14.3951 45.9894 10.8319 13.9869 58.442 12.3356 17.3395 0.159404 0.164467
0.166998 53.2057 12.5861 16.0205 41.3505 15.0926 16.5142 53.5737 12.6652 16.0514 51.9315 12.2436 15.9294 60.6972 15.9034 17.6675 0.164467 0.169529
0.172060 59.7091 12.6961 17.8159 42.276 19.6679 13.4657 60.2503 12.502 17.8289 58.8052 12.1337 17.6203 65.0238 16.9603 19.0162 0.169529 0.174591
0.177123 65.7704 14.7958 19.6034 46.456 24.0886 13.4935 66.37 14.4853 20.0132 65.4057 14.4811 19.8042 67.9151 18.3453 19.2944 0.174591 0.179654
0.182185 71.569 16.8567 21.0647 49.901 26.4247 12.7638 72.2416 16.596 21.2676 71.5233 16.2409 21.1339 71.8377 19.5349 20.6838 0.179654 0.184716
0.187248 75.8526 18.4434 21.7377 57.5108 29.0722 17.5766 76.422 17.7764 21.8843 75.4253 17.2411 21.6314 78.3653 24.0455 21.2427 0.184716 0.189779
0.192310 80.1969 19.9786 22.5964 61.6667 31.731 16.9009 80.7721 19.3606 22.7401 79.0409 18.8594 22.4448 86.9934 25.7428 23.3804 0.189779 0.194842
0.197373 85.891 21.3799 23.545 65.4566 32.4138 18.2184 86.5253 20.9159 23.7104 83.776 20.1778 23.1851 98.3263 28.7848 26.5002 0.194842 0.199904
0.202435 91.4624 23.4404 24.7542 72.3723 31.0817 19.5778 92.0549 23.1603 24.8274 88.8084 22.327 24.1265 107.067 31.2569 28.0794 0.199904 0.204967
0.207498 94.6723 23.6625 24.8534 77.8178 31.1109 22.5873 95.1955 24.3336 25.202 92.0634 23.5754 24.1521 110.012 33.5854 26.5561 0.204967 0.210029
0.212560 99.1303 26.3427 24.4003 80.5813 35.226 19.0117 99.706 27.0589 24.7152 97.3701 25.565 24.2221 109.48 31.3951 25.8854 0.210029 0.215091
0.217623 103.987 26.794 25.2544 88.3079 33.1227 24.4214 104.474 27.4581 25.4762 101.375 25.9293 24.9127 119.344 32.724 28.2848 0.215091 0.220154
0.222685 108.322 31.1806 25.5359 99.2384 30.869 26.6216 108.604 30.6374 25.4895 105.636 30.2225 25.0078 124.113 35.1782 28.3988 0.220154 0.225217
0.227748 113.407 31.58 25.2604 108.699 33.7584 28.8754 113.553 31.608 25.5787 111.737 31.0002 25.2052 123.228 37.3578 26.247 0.225217 0.230279
0.232810 117.676 33.68 26.1336 126.509 28.2765 42.4065 117.402 33.9379 25.6749 115.953 32.9187 26.3173 127.807 40.2444 26.8907 0.230279 0.235342
0.237873 121.27 34.572 26.0096 122.019 27.3263 42.6424 121.247 35.2426 26.1698 120.02 33.7217 26.4938 128.621 39.085 25.3037 0.235342 0.240404
0.242935 123.959 35.8988 26.5298 127.854 22.8031 44.1533 123.838 36.1746 25.8959 123.146 34.5819 26.8646 128.739 38.0259 26.137 0.240404 0.245467
0.247998 124.845 37.6142 25.3479 127.61 33.2421 38.7749 124.759 37.8298 24.8976 125.002 36.5809 26.5763 123.922 38.3048 23.8407 0.245467 0.250529
0.253060 126.052 37.1276 24.521 125.365 28.7366 36.3505 126.073 37.7734 24.6756 126.647 37.4427 25.789 122.55 38.7969 23.4202 0.250529 0.255592
0.258123 126.421 37.1422 25.2686 120.424 33.4648 33.5178 126.607 37.6592 25.6602 127.955 38.0445 25.7093 117.396 38.5686 23.62 0.255592 0.260654
0.263185 125.047 37.57 25.3306 114.728 32.8943 27.8559 125.367 38.5048 25.3566 126.711 35.7809 25.002 115.259 38.6989 24.0732 0.260654 0.265716
0.268248 124.645 37.6794 26.0449 117.106 29.1663 32.1449 124.879 38.0242 26.0046 127.114 36.3403 25.8354 110.125 35.7104 22.3428 0.265716 0.270779
0.273310 122.882 38.0854 25.3726 121.449 26.9567 32.8978 122.926 38.6008 25.2802 125.871 38.6553 26.0083 105.306 35.8754 21.3008 0.270779 0.275842
0.278373 121.107 38.5732 24.3935 124.409 34.1446 34.2054 121.004 39.2998 24.0701 124.362 39.5563 25.1153 101.966 35.314 20.8051 0.275842 0.280904
0.283435 118.097 39.0721 24.0625 122.229 31.0591 33.4381 117.969 39.6295 23.7841 121.356 39.9873 24.8773 98.9367 34.7951 21.2985 0.280904 0.285967
0.288498 115.494 39.0203 22.8224 124.746 35.9817 33.939 115.207 39.5309 22.3081 118.604 39.584 23.6231 97.2056 37.7377 20.8112 0.285967 0.291029
0.293560 112.96 37.9726 22.5518 130.95 31.9837 35.8055 112.402 38.1833 22.477 115.823 38.8026 23.0756 96.1299 36.0093 20.7822 0.291029 0.296091
0.298623 108.988 37.2837 22.5513 136.373 31.858 37.8646 108.138 37.5106 22.0669 112.287 38.1192 23.2951 89.5947 35.297 19.976 0.296091 0.301154
0.303685 103.997 36.8369 21.9253 132.575 34.6168 34.79 103.109 37.5878 21.4188 107.373 37.0616 22.8441 84.1425 35.5815 17.8288 0.301154 0.306217
0.308748 98.5519 36.8748 20.8706 129.953 32.662 35.9537 97.5772 37.6555 20.7743 101.836 37.8451 21.6315 79.24 32.5605 17.791 0.306217 0.311279
0.313810 94.0777 35.9403 20.6534 132.98 32.8791 37.5773 92.8701 35.6702 20.4392 97.3431 37.1857 21.7094 74.8781 33.0649 16.1578 0.311279 0.316341
0.318873 88.3735 33.3758 19.9012 133.93 31.9268 38.3844 86.9594 33.1249 19.3139 91.5062 34.0074 20.3479 69.9542 30.3439 15.1583 0.316341 0.321404
0.323935 82.9009 31.1875 19.3203 127.747 34.9618 38.2261 81.5088 31.4587 18.7669 86.0061 31.8589 19.966 64.643 27.7483 14.4519 0.321404 0.326466
0.328997 77.3855 31.3354 17.429 123.939 36.6656 38.4765 75.9404 31.9239 17.3078 80.6185 32.161 18.1926 58.3764 27.2849 12.9386 0.326466 0.331528
0.334060 71.578 30.6878 16.1823 117.657 35.7221 38.1118 70.1477 30.2461 16.1042 74.5586 30.73 16.7624 54.0532 23.866 12.4337 0.331528 0.336591
0.339122 65.5236 28.191 15.1307 113.813 33.1928 35.3788 64.0246 27.8344 14.8675 68.6044 29.013 15.9817 47.4095 22.9468 9.97481 0.336591 0.341653
0.344185 59.3882 25.8249 13.5589 103.768 34.6039 33.4301 58.0106 25.265 13.3561 62.1358 26.8153 14.56 43.2329 22.2077 9.29519 0.341653 0.346716
0.349247 53.7335 23.6446 12.5173 95.5278 31.4209 29.2825 52.4361 23.2481 12.0093 56.308 24.7584 13.3112 38.5961 20.3409 8.30547 0.346716 0.351779
0.354310 48.4928 21.0434 11.4386 85.8048 30.9605 26.4823 47.3346 20.8801 11.1578 50.9031 21.7415 12.2245 34.3211 17.9356 7.6389 0.351779 0.356841
