#Observed stellar mass range: 10.2 < log10(M*/Msun) < 10.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.268993 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 224
#Bestfit SF galaxies in bin: 209
#Bestfit Q galaxies in bin: 15
#Bestfit central galaxies in bin: 213
#Bestfit satellite galaxies in bin: 11
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.0201019 0 0.0200996 0.0139074 0.00187067 0.0139074 0.106412 -0.0684153 0.106412 0.0136462 0.0017786 0.013646 0.145107 -0.0570379 0.145107 0.000000 0.057873
0.059561 0.193172 0.146067 0.190118 0.134557 0.173484 0.13227 1.00986 -0.381738 1.00986 0.132444 0.172983 0.129239 1.36907 -0.468599 1.36907 0.057873 0.061248
0.062373 0.345378 0.467292 0.325859 0.213497 0.586802 0.19797 2.18292 -1.01641 2.18201 0.216022 0.59329 0.198335 2.85018 -2.00999 2.85018 0.061248 0.063498
0.064623 0.54803 0.555061 0.497835 0.511919 0.544846 0.469585 1.05119 0.64633 1.04528 0.525119 0.565293 0.473836 0.991682 0.443727 0.991682 0.063498 0.065748
0.066873 0.85474 0.900939 0.765454 0.840424 0.911507 0.754143 1.05421 1.47138 0.993262 0.886449 0.951893 0.793757 0.24073 0.289637 0.238199 0.065748 0.067998
0.069123 1.26112 0.970005 1.06408 1.20479 0.915071 1.0162 2.04598 1.95228 1.90682 1.31422 0.952244 1.10649 0.232874 0.801331 0.216667 0.067998 0.070248
0.071373 1.36149 1.47614 1.09196 1.25036 1.43525 0.995993 2.90987 2.33862 2.6706 1.42116 1.47799 1.13415 0.2061 1.42643 0.159498 0.070248 0.072498
0.073623 2.20864 1.79389 1.6748 1.8352 1.69696 1.35052 7.41188 1.7412 6.81976 2.27029 1.70372 1.74361 1.01488 1.35626 0.863793 0.072498 0.074748
0.075873 2.9142 1.98823 2.17091 2.40066 1.84464 1.69942 10.0696 -0.0451413 9.29224 2.92904 1.86959 2.16868 2.62676 0.805221 2.16227 0.074748 0.076998
0.078123 3.19999 2.15028 2.1707 2.90557 1.92717 1.90171 7.30219 1.5524 6.31498 3.16652 2.2371 2.12608 3.84808 0.502642 3.34423 0.076998 0.079248
