#Peak halo mass range: 12.875 < log10(Mh/Msun) < 13.125
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 7351
#Bestfit SF halos in bin: 678
#Bestfit Q halos in bin: 6673
#Bestfit central halos in bin: 5867
#Bestfit satellite halos in bin: 1484
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.002648 4.38257e-05 0.00259341 0.000752643 0.0010556 0.000745318 0.00284057 -6.58236e-05 0.00279323 0.00236802 -2.39767e-05 0.00232313 0.00375487 0.000513194 0.00370326 0.000000 0.057873
0.059561 0.0262071 0.0276521 0.0251854 0.0242408 0.0220187 0.0237383 0.0264068 0.0282046 0.0253618 0.0244745 0.033005 0.0236341 0.0330569 0.0157911 0.0314274 0.057873 0.061248
0.062373 0.0529321 0.0430524 0.0504276 0.0757764 0.0232112 0.0728706 0.050611 0.0472792 0.0481618 0.0537553 0.040598 0.0511282 0.0496775 0.0504124 0.047148 0.061248 0.063498
0.064623 0.131856 0.0524476 0.123056 0.167261 0.0447561 0.15688 0.128258 0.0467573 0.119411 0.124377 0.0715047 0.11555 0.161422 -0.00556335 0.150534 0.063498 0.065748
0.066873 0.179198 0.0468757 0.159364 0.317236 -0.0482754 0.293278 0.165173 0.0604117 0.145177 0.197796 0.0410974 0.177366 0.105672 0.121777 0.0886933 0.065748 0.067998
0.069123 0.201626 0.101908 0.169028 0.20142 0.0891302 0.169366 0.201647 0.11045 0.168975 0.214932 0.107099 0.180496 0.149019 0.114941 0.126138 0.067998 0.070248
0.071373 0.258241 0.166212 0.206353 0.266674 0.111747 0.223974 0.257384 0.171265 0.202602 0.263445 0.157556 0.211185 0.237664 0.163477 0.192463 0.070248 0.072498
0.073623 0.349859 0.173637 0.263995 0.277751 0.105846 0.21746 0.357186 0.197875 0.268647 0.352748 0.172046 0.264224 0.338439 0.191753 0.254838 0.072498 0.074748
0.075873 0.481946 0.230154 0.340687 0.362664 0.130408 0.270838 0.494066 0.260455 0.348436 0.489388 0.241838 0.348089 0.452528 0.240789 0.325506 0.074748 0.076998
0.078123 0.609445 0.272079 0.417135 0.465209 0.16245 0.327214 0.6241 0.284693 0.425294 0.604037 0.263151 0.407606 0.630826 0.310778 0.43254 0.076998 0.079248
0.080373 0.742698 0.290503 0.482958 0.604555 0.190196 0.405748 0.756733 0.305671 0.484094 0.734074 0.277041 0.480508 0.776791 0.343725 0.495543 0.079248 0.081498
0.082904 0.753173 0.269533 0.444498 0.51402 0.236243 0.306232 0.777472 0.28897 0.453784 0.726894 0.26903 0.424979 0.857069 0.286331 0.516667 0.081498 0.084311
0.085998 1.09884 0.385074 0.611003 0.736808 0.254818 0.441202 1.13563 0.417382 0.621113 1.04911 0.389806 0.573749 1.29546 0.409191 0.737597 0.084311 0.087685
0.089373 1.38529 0.481732 0.69407 0.955524 0.310224 0.525863 1.42896 0.51803 0.699819 1.31161 0.47381 0.655046 1.67659 0.55335 0.857822 0.087685 0.091061
0.092748 1.7085 0.567585 0.783727 1.33874 0.245444 0.701346 1.74607 0.632989 0.768149 1.63856 0.544683 0.746784 1.98503 0.641704 0.923532 0.091061 0.094435
0.096123 2.14207 0.626976 0.918578 1.59661 0.29565 0.749039 2.19749 0.697225 0.911762 2.09403 0.58436 0.886237 2.33199 0.738594 1.03098 0.094435 0.097811
0.099498 2.57126 0.783189 1.04652 1.96614 0.398944 0.826157 2.63275 0.861142 1.02721 2.48075 0.800564 1.00146 2.9291 0.87652 1.21949 0.097811 0.101186
0.102873 3.02035 0.895009 1.13526 2.18973 0.597227 0.845459 3.10474 1.01495 1.1298 2.96641 0.911968 1.12407 3.2336 1.02423 1.18061 0.101186 0.104560
0.106248 3.47869 1.05125 1.22743 2.83779 0.659201 1.07105 3.54381 1.0653 1.22574 3.43719 1.01666 1.21413 3.64276 1.02703 1.25675 0.104560 0.107936
0.109623 3.96631 1.17537 1.33384 3.68369 0.845623 1.37325 3.99502 1.2421 1.30934 3.92006 1.16511 1.28148 4.14913 1.12431 1.39702 0.107936 0.111310
0.112998 4.59219 1.24789 1.53474 4.49773 0.998465 1.72881 4.60179 1.24504 1.51462 4.52734 1.2157 1.49591 4.84859 1.28532 1.55757 0.111310 0.114686
0.116373 5.28653 1.25649 1.70073 5.54673 0.495029 2.17483 5.26009 1.35101 1.65847 5.21834 1.22783 1.67862 5.5561 1.37345 1.78432 0.114686 0.118060
0.119748 5.86265 1.47371 1.82045 5.61899 0.785931 2.0543 5.8874 1.56276 1.7843 5.7397 1.44531 1.73405 6.3487 1.73654 1.97339 0.118060 0.121435
0.123123 6.61381 1.63619 1.957 5.77395 1.28678 1.86227 6.69914 1.75829 1.92213 6.36612 1.55222 1.81737 7.59308 1.91968 2.37996 0.121435 0.124811
0.126498 7.42723 1.83712 2.15616 6.74577 0.699929 2.56136 7.49646 1.99562 2.11328 6.99253 1.6435 1.97784 9.14578 2.26919 2.90834 0.124811 0.128185
0.129873 8.32315 2.01888 2.45075 6.58446 0.925648 2.2223 8.49981 2.21671 2.36929 7.82263 1.89764 2.22516 10.302 2.33522 3.27553 0.128185 0.131561
0.133248 8.98065 2.02943 2.52447 7.33282 1.24389 2.30354 9.14808 2.28259 2.48868 8.45814 1.94014 2.31052 11.0464 2.51602 3.28533 0.131561 0.134935
0.137045 10.0513 2.32998 2.8959 7.88351 1.68773 2.40603 10.2716 2.40714 2.82906 9.51608 2.24255 2.65782 12.1675 2.77832 3.676 0.134935 0.139154
0.141685 11.6957 2.64808 3.5182 8.72633 1.62652 2.46413 11.9974 2.90914 3.41375 10.7627 2.62051 3.14761 15.3841 3.61515 4.91713 0.139154 0.144217
0.146748 13.5501 3.15703 4.24447 9.55303 2.09027 2.77696 13.9562 3.46791 4.19313 12.5638 2.95007 3.7079 17.4495 4.25113 5.80444 0.144217 0.149279
0.151810 15.3612 3.68057 4.91045 10.8233 2.61576 3.14651 15.8223 4.11579 4.91258 14.3298 3.46954 4.379 19.4389 4.47003 6.31498 0.149279 0.154342
0.156873 16.9542 3.8825 5.36519 11.6143 3.17742 3.2336 17.4968 4.45467 5.44484 15.8932 3.74547 4.78829 21.1489 4.8653 7.1587 0.154342 0.159404
0.161935 18.8448 4.30656 5.87837 12.789 3.52493 4.00279 19.4601 4.80067 5.94463 17.4605 4.07405 5.26207 24.3177 5.53425 7.92351 0.159404 0.164467
0.166998 21.0062 4.78485 6.43717 15.156 4.07937 5.02797 21.6006 5.47001 6.62777 19.5027 4.69165 5.821 26.9502 5.38197 8.70129 0.164467 0.169529
0.172060 23.4449 5.49325 7.23378 18.0818 4.3173 6.86319 23.9898 6.05291 7.12584 21.8186 5.49771 6.59738 29.8744 5.33914 9.89686 0.169529 0.174591
