#Peak halo mass range: 10.375 < log10(Mh/Msun) < 10.625
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 1.5215e+06
#Bestfit SF halos in bin: 1.32032e+06
#Bestfit Q halos in bin: 201182
#Bestfit central halos in bin: 1.13367e+06
#Bestfit satellite halos in bin: 387824
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057873 0.061248
0.062373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.061248 0.063498
0.064623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.063498 0.065748
0.066873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.065748 0.067998
0.069123 1.45752e-07 4.46498e-07 1.265e-07 7.12836e-08 2.26998e-07 6.55903e-08 6.34474e-07 1.19508e-06 5.77437e-07 0 0 0 5.7181e-07 1.75888e-06 4.95327e-07 0.067998 0.070248
0.071373 4.02746e-07 9.35102e-07 3.37268e-07 3.07264e-07 6.75546e-07 2.74296e-07 1.02937e-06 1.89946e-06 8.87512e-07 2.58649e-08 4.88036e-08 2.38074e-08 1.50443e-06 3.64327e-06 1.25384e-06 0.070248 0.072498
0.073623 8.84389e-07 1.62077e-06 7.31363e-07 7.38995e-07 1.31386e-06 6.28255e-07 1.83858e-06 3.48066e-06 1.54961e-06 7.74887e-08 1.27374e-07 6.75603e-08 3.24309e-06 5.87093e-06 2.67814e-06 0.072498 0.074748
0.075873 1.31153e-06 2.14863e-06 1.10358e-06 8.97212e-07 1.23469e-06 7.75754e-07 4.03062e-06 5.10802e-06 3.52738e-06 1.78131e-07 2.65903e-07 1.52527e-07 4.62465e-06 7.22655e-06 3.90283e-06 0.074748 0.076998
0.078123 3.14028e-06 3.36318e-06 2.38791e-06 2.37485e-06 2.38729e-06 1.8553e-06 8.16362e-06 8.40849e-06 6.84562e-06 3.58166e-07 4.44993e-07 2.96451e-07 1.12729e-05 1.22944e-05 8.53308e-06 0.076998 0.079248
0.080373 5.67594e-06 5.08614e-06 4.33878e-06 3.74811e-06 2.91478e-06 2.93302e-06 1.83279e-05 1.90029e-05 1.4054e-05 8.03298e-07 9.53373e-07 6.37107e-07 1.99195e-05 1.76943e-05 1.53402e-05 0.079248 0.081498
0.082904 8.83262e-06 7.97245e-06 6.45194e-06 6.36477e-06 4.69922e-06 4.69501e-06 2.50286e-05 2.72447e-05 1.77748e-05 1.42441e-06 1.50712e-06 1.08121e-06 3.04881e-05 2.74073e-05 2.22826e-05 0.081498 0.084311
0.085998 1.78357e-05 1.4451e-05 1.1708e-05 1.24382e-05 9.18731e-06 8.64983e-06 5.32588e-05 5.19225e-05 3.47823e-05 3.73584e-06 3.23775e-06 2.63922e-06 5.90521e-05 4.78155e-05 3.85749e-05 0.084311 0.087685
0.089373 3.26138e-05 2.49341e-05 1.9661e-05 2.38185e-05 1.50353e-05 1.61549e-05 9.03352e-05 8.65402e-05 5.44056e-05 6.99223e-06 6.22067e-06 4.47653e-06 0.00010751 7.7886e-05 6.48837e-05 0.087685 0.091061
