#Peak halo mass range: 13.625 < log10(Mh/Msun) < 13.875
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 280
#Bestfit SF halos in bin: 8
#Bestfit Q halos in bin: 272
#Bestfit central halos in bin: 256
#Bestfit satellite halos in bin: 24
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.0191376 0.00273906 0.019039 0 0 0 0.0197005 0.00267624 0.0195978 0.0209318 0.00201803 0.0208239 0 0 0 0.000000 0.057873
0.059561 0.264521 0.188979 0.25625 0.0205315 0.00367828 0.0205315 0.271697 0.193432 0.263367 0.288506 0.203006 0.279504 0.00868085 0.00236222 0.00868085 0.057873 0.061248
0.062373 0.393432 0.530998 0.368655 0.086812 0.150146 0.0867044 0.402451 0.536576 0.376851 0.4191 0.539687 0.392108 0.11964 0.0293731 0.116331 0.061248 0.063498
0.064623 1.01288 1.05005 0.934466 0.367551 0.432993 0.35904 1.03186 1.03107 0.952126 1.09117 1.10949 1.01093 0.177796 0.182299 0.164889 0.063498 0.065748
0.066873 1.5482 0.995753 1.37463 0.598764 0.747882 0.570354 1.57612 0.972383 1.40057 1.62929 1.08805 1.44931 0.683239 0.227249 0.620329 0.065748 0.067998
0.069123 4.08798 0.53934 3.55042 0.816613 1.3023 0.760045 4.1842 0.527655 3.63415 4.39326 0.515041 3.81165 0.831696 0.411686 0.734823 0.067998 0.070248
0.071373 2.98502 1.64352 2.36227 2.00992 1.10443 1.77325 3.0137 1.68178 2.39258 3.13685 1.78586 2.47391 1.36548 0.498735 1.14666 0.070248 0.072498
0.073623 4.10155 1.88429 3.07784 2.69444 1.86125 2.29136 4.14294 1.85093 3.11215 4.23881 1.98027 3.15125 2.63745 0.417926 2.16856 0.072498 0.074748
0.075873 6.21962 3.13954 4.6092 1.77788 1.33083 1.34613 6.35026 3.21384 4.71759 6.47874 3.45783 4.81029 3.45561 0.775253 2.75199 0.074748 0.076998
0.078123 6.99514 2.03668 4.93196 1.98739 1.31287 1.39425 7.14243 1.98814 5.02316 7.27906 2.17199 5.09297 3.9667 1.0821 2.84033 0.076998 0.079248
0.080373 8.86796 2.6946 5.94415 2.28956 1.39631 1.60002 9.06144 2.70853 6.10791 9.00751 2.34118 6.08873 7.37938 2.69398 4.98425 0.079248 0.081498
0.082904 8.13133 2.45245 5.06019 2.4554 2.48498 1.62665 8.29827 2.40991 5.19057 8.25446 2.48675 5.13604 6.81798 3.56403 4.3074 0.081498 0.084311
0.085998 13.0378 4.79464 7.51239 4.73906 3.04672 2.64712 13.2819 4.96359 7.68933 13.486 4.91622 7.82114 8.25707 2.88147 4.55546 0.084311 0.087685
0.089373 14.2594 5.89454 7.25691 3.84823 2.60426 2.02732 14.5656 6.10901 7.40591 14.5503 6.10794 7.39997 11.1567 3.3413 5.84869 0.087685 0.091061
0.092748 18.5812 7.86087 8.92061 4.75112 1.30374 2.54549 18.988 7.96283 9.13712 19.0614 8.42226 9.13021 13.4592 3.55993 7.3023 0.091061 0.094435
0.096123 25.4075 8.87064 12.4081 4.9633 1.8921 2.64583 26.0088 8.83696 12.798 25.8373 9.15155 12.5078 20.8224 3.70527 12.0616 0.094435 0.097811
0.099498 33.0566 9.01191 16.6801 6.07379 6.20522 2.95011 33.8502 8.57274 17.0508 32.5076 9.87705 15.8994 38.9132 13.3425 25.4759 0.097811 0.101186
0.102873 40.8205 9.39496 19.8786 9.27958 17.2508 3.98741 41.7482 9.51225 20.2163 42.0734 9.27628 20.5046 27.4562 5.63322 14.3656 0.101186 0.104560
0.106248 44.7084 4.17254 21.3134 11.5684 18.3119 4.58915 45.6831 3.62862 21.9862 43.8915 5.11676 20.2475 53.4211 2.35432 35.2328 0.104560 0.107936
0.109623 56.8278 20.9929 26.044 15.9996 11.868 5.30953 58.0286 21.8097 26.7571 50.7268 25.0126 19.545 121.905 -1.31391 90.6719 0.107936 0.111310
0.112998 59.4191 16.6557 23.6867 19.8617 12.0803 6.72364 60.5826 17.1029 24.0909 59.5736 14.7201 23.5567 57.7718 43.3353 23.9302 0.111310 0.114686
0.116373 71.9113 18.4797 27.5679 24.0181 10.2013 7.97453 73.3199 18.2735 28.0722 72.8589 15.5494 28.579 61.8035 40.8858 21.9813 0.114686 0.118060
0.119748 86.1657 22.4682 33.974 32.7587 14.6526 11.4457 87.7365 22.9787 34.8865 86.7396 20.9973 34.3584 80.0444 34.6152 32.4718 0.118060 0.121435
0.123123 97.3239 23.0116 35.4256 54.4872 27.1871 14.9367 98.5838 23.4259 36.3683 99.2146 22.8111 36.1751 77.1571 33.1553 27.0546 0.121435 0.124811
0.126498 102.49 26.2609 33.2507 50.5697 31.6881 13.8858 104.017 26.4027 34.3358 106.654 26.8748 35.8721 58.07 25.028 19.6186 0.124811 0.128185
0.129873 112.746 25.6188 36.7882 41.0221 38.0193 8.24999 114.855 25.516 37.5553 118.596 26.7971 39.0324 50.3375 11.8893 18.7857 0.128185 0.131561
0.133248 122.206 32.5275 39.0415 43.847 50.6567 10.1761 124.511 31.8451 40.3533 129.227 35.1389 41.5433 47.3198 16.3124 13.8398 0.131561 0.134935
0.137045 136.527 39.7268 43.1051 60.5047 66.46 14.5601 138.763 40.5637 43.9311 143.927 41.2516 44.9652 57.6016 14.6558 20.0085 0.134935 0.139154
0.141685 160.915 36.6327 53.4114 58.6475 55.9482 17.8122 163.923 36.7387 55.3243 167.932 38.7822 55.563 86.0689 23.2126 28.3753 0.139154 0.144217
0.146748 179.728 36.0753 58.0742 99.5541 78.2266 26.1459 182.086 34.2418 59.7205 185.077 36.218 59.2614 122.676 35.2176 49.4812 0.144217 0.149279
0.151810 190.41 48.0316 54.9678 153.044 94.1681 46.2444 191.509 46.2133 55.4173 196.211 48.352 56.1749 128.539 29.3959 38.501 0.149279 0.154342
0.156873 213.771 43.7999 63.1938 196.359 99.5911 56.5317 214.284 42.3109 64.749 223.082 47.7468 66.5684 114.461 22.9439 32.2194 0.154342 0.159404
0.161935 217.841 41.9654 61.4513 199.108 111.056 60.6302 218.392 44.8641 61.5912 228.034 44.2468 63.6146 109.117 20.7239 32.052 0.159404 0.164467
0.166998 215.758 55.748 59.3546 162.589 87.4467 35.1055 217.321 57.9308 60.1637 223.441 56.6353 61.8136 133.805 36.5504 38.2747 0.164467 0.169529
0.172060 231.913 57.5333 61.8736 154.481 65.5704 38.9151 234.19 57.293 62.1335 240.328 59.7669 63.2428 142.148 39.6794 38.6996 0.169529 0.174591
0.177123 250.23 64.1106 67.2708 133.436 58.4004 35.1038 253.665 64.8326 68.5536 260.212 65.4828 71.2344 143.759 50.2165 39.5241 0.174591 0.179654
0.182185 258.385 70.9552 67.1248 189.746 89.1313 54.5295 260.404 69.7563 68.7678 270.672 73.7193 70.6698 127.321 58.1804 30.8431 0.179654 0.184716
0.187248 266.806 72.1352 70.1561 196.617 90.815 55.2084 268.87 71.5834 71.0052 280.536 72.0795 74.6649 120.355 64.4927 24.4915 0.184716 0.189779
0.192310 265.762 72.8377 67.3611 244.902 86.4605 66.6012 266.376 73.5418 67.9728 277.055 74.5385 70.4116 145.305 63.0841 38.4613 0.189779 0.194842
0.197373 264.671 83.0055 65.6584 180.605 95.9892 35.5363 267.144 81.1221 68.1353 273.687 81.1662 68.3347 168.507 74.9867 33.0378 0.194842 0.199904
0.202435 261.295 86.9638 64.2171 201.936 107.733 38.6779 263.041 85.9729 66.9485 269.48 87.6409 68.1194 173.998 71.4815 36.7924 0.199904 0.204967
0.207498 265.964 85.9584 64.3943 381.889 140.614 114.204 262.554 89.8269 64.5696 270.462 90.6165 67.8441 217.977 81.4312 51.2785 0.204967 0.210029
0.212560 255.708 84.4965 64.1173 431.466 138.268 155.994 250.538 84.4857 61.5877 257.764 85.5688 64.2453 233.778 88.9635 54.1528 0.210029 0.215091
0.217623 257.357 81.7498 63.3874 410.13 132.741 109.519 252.863 82.8836 63.0894 258.186 81.1497 65.6116 248.517 104.826 50.2435 0.215091 0.220154
0.222685 248.517 91.5735 61.3514 420.718 121.891 137.619 243.453 88.9696 59.3314 248.4 89.9867 62.332 249.77 102.62 50.5104 0.220154 0.225217
0.227748 235.136 98.7002 58.4494 396.549 122.827 152.415 230.388 99.7323 55.5278 235.07 100.811 60.4303 235.839 102.917 43.6079 0.225217 0.230279
0.232810 221.157 100.663 57.1289 398.823 114.795 170.612 215.932 96.006 54.7818 221.96 100.25 59.0605 212.594 106.57 44.7861 0.230279 0.235342
0.237873 198.163 101.708 48.9074 306.765 111.767 126.329 194.969 97.0084 47.2264 197.997 97.8918 49.6751 199.934 124.443 46.2048 0.235342 0.240404
0.242935 184.565 98.8688 47.4489 290.236 88.5158 150.306 181.457 100.694 45.7564 184.585 95.2948 46.4975 184.355 125.89 50.572 0.240404 0.245467
0.247998 172.788 97.2301 44.2083 277.593 107.642 143.514 169.705 98.9683 42.8968 173.373 95.6919 44.4682 166.548 118.095 49.5896 0.245467 0.250529
