#Observed stellar mass range: 10.6 < log10(M*/Msun) < 10.8
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.257524 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 1768
#Bestfit SF galaxies in bin: 1479
#Bestfit Q galaxies in bin: 289
#Bestfit central galaxies in bin: 1578
#Bestfit satellite galaxies in bin: 190
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.000457489 0.00260713 0.000439576 0.000500529 0.00270431 0.00049867 0.000237231 0.00252818 0.000236885 0.000470482 0.00290079 0.00045089 0.00034958 0.000208004 0.00034958 0.000000 0.057873
0.059561 0.0378971 0.0421033 0.0364309 0.0339058 0.0408734 0.0329145 0.0583232 0.0823377 0.0556852 0.0405563 0.0469993 0.0391018 0.0158116 0.0218828 0.0153962 0.057873 0.061248
0.062373 0.0672014 0.115301 0.0620872 0.0577599 0.103164 0.0532311 0.115519 0.143469 0.108848 0.0670305 0.129307 0.061542 0.0686205 0.049092 0.0663794 0.061248 0.063498
0.064623 0.149069 0.131077 0.135948 0.136115 0.11898 0.123934 0.215365 0.244816 0.198546 0.144249 0.148547 0.130972 0.189101 0.0569818 0.181504 0.063498 0.065748
0.066873 0.312624 0.14266 0.279457 0.298308 0.104187 0.270667 0.385887 0.361224 0.337369 0.312698 0.132657 0.27848 0.312005 0.0521709 0.290153 0.065748 0.067998
0.069123 0.33881 0.209692 0.282292 0.290613 0.157076 0.247391 0.585466 0.322931 0.496751 0.331692 0.217205 0.274949 0.397931 0.0995336 0.3567 0.067998 0.070248
0.071373 0.442608 0.314444 0.358943 0.356009 0.32116 0.285627 0.885788 0.386348 0.749938 0.437215 0.344401 0.349828 0.4874 0.206489 0.423511 0.070248 0.072498
0.073623 0.63315 0.291545 0.491817 0.494903 0.33694 0.375195 1.34065 0.346476 1.11847 0.604665 0.335671 0.466425 0.869721 0.271457 0.763318 0.072498 0.074748
0.075873 0.701648 0.360535 0.507505 0.528292 0.426541 0.372064 1.58882 0.425297 1.27155 0.650723 0.439527 0.454872 1.12459 0.188863 0.954456 0.074748 0.076998
0.078123 0.898549 0.379151 0.634269 0.632066 0.46405 0.422381 2.26231 0.0451146 1.81868 0.804593 0.447958 0.534549 1.67888 -0.0253571 1.42445 0.076998 0.079248
