#Peak halo mass range: 12.125 < log10(Mh/Msun) < 12.375
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit halos in bin: 38568
#Bestfit SF halos in bin: 19386
#Bestfit Q halos in bin: 19182
#Bestfit central halos in bin: 29572
#Bestfit satellite halos in bin: 8996
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 5.15315e-05 2.82436e-05 5.08429e-05 0 3.7e-08 0 0.000103611 5.77012e-05 0.000102241 6.58556e-06 1.67037e-05 6.45822e-06 0.00019928 7.02312e-05 0.000197648 0.000000 0.057873
0.059561 0.00249858 0.00276903 0.00241284 0.000687749 0.00103545 0.000664273 0.00432866 0.00423588 0.00417714 0.00101513 0.00132323 0.000976865 0.00737503 0.00774541 0.00713995 0.057873 0.061248
0.062373 0.00547203 0.00232717 0.00516024 0.0017338 0.00231391 0.00162688 0.00925001 0.00190687 0.0087152 0.00294863 0.0033702 0.00277447 0.013767 -0.000408481 0.0128959 0.061248 0.063498
0.064623 0.00843896 0.00759378 0.00752858 0.00470871 0.00435502 0.00430186 0.0122089 0.0108312 0.010943 0.00529333 0.00423778 0.00481499 0.0187794 0.0149079 0.0169485 0.063498 0.065748
0.066873 0.0149659 0.0133662 0.0133189 0.012144 0.0081928 0.01074 0.0178177 0.0171336 0.015773 0.0103842 0.011306 0.00919944 0.0300268 0.0200124 0.0266035 0.065748 0.067998
0.069123 0.0235847 0.0187814 0.0200463 0.0164006 0.0134597 0.0138612 0.0308452 0.0220615 0.0260963 0.0164834 0.0143774 0.01387 0.0469285 0.0325552 0.0390533 0.067998 0.070248
0.071373 0.0335585 0.0188899 0.0269289 0.0231106 0.0159888 0.018467 0.0441174 0.0225959 0.0356718 0.0247975 0.0162865 0.0198719 0.062358 0.0314286 0.0502816 0.070248 0.072498
0.073623 0.0486266 0.0278485 0.0358316 0.0331139 0.0216066 0.0240513 0.0643042 0.0361678 0.0481903 0.0378055 0.0237919 0.0276539 0.0841982 0.0468009 0.063026 0.072498 0.074748
0.075873 0.071095 0.039969 0.0487602 0.0508124 0.0333176 0.0348905 0.0915933 0.0505655 0.064214 0.0583217 0.0376367 0.040915 0.113084 0.0599733 0.0773433 0.074748 0.076998
0.078123 0.0972691 0.0555853 0.0621164 0.0705616 0.0458892 0.0471775 0.124261 0.0672272 0.0807378 0.0804009 0.0464709 0.0542119 0.152719 0.0808565 0.0981898 0.076998 0.079248
0.080373 0.12445 0.0670685 0.0765749 0.0874637 0.056797 0.0562631 0.16183 0.0764495 0.100028 0.103368 0.0613654 0.0655529 0.193751 0.0894444 0.119074 0.079248 0.081498
0.082904 0.131065 0.0713981 0.0762607 0.0951475 0.0520054 0.0601289 0.167365 0.086069 0.0991747 0.113067 0.0612572 0.0684842 0.190232 0.0952437 0.109812 0.081498 0.084311
0.085998 0.189667 0.0885546 0.105817 0.138111 0.0778284 0.0766602 0.241772 0.100012 0.132493 0.159676 0.0791662 0.088697 0.288255 0.136049 0.157837 0.084311 0.087685
0.089373 0.236622 0.100707 0.120546 0.171804 0.085258 0.0873564 0.302129 0.117201 0.15841 0.198541 0.0891443 0.101409 0.361802 0.139873 0.188462 0.087685 0.091061
0.092748 0.28855 0.122523 0.132612 0.209122 0.100147 0.0944044 0.368824 0.145366 0.172232 0.244204 0.111652 0.110534 0.434327 0.17591 0.203939 0.091061 0.094435
0.096123 0.343479 0.139041 0.146373 0.252083 0.103495 0.109875 0.435847 0.153684 0.185683 0.292664 0.124115 0.125179 0.51052 0.188836 0.219172 0.094435 0.097811
0.099498 0.411302 0.166275 0.162745 0.293937 0.106724 0.117604 0.529916 0.180299 0.207458 0.351997 0.140498 0.137206 0.606254 0.194061 0.238735 0.097811 0.101186
0.102873 0.481014 0.166546 0.177635 0.344914 0.124346 0.125333 0.618562 0.200763 0.222514 0.408286 0.154406 0.150694 0.720089 0.245293 0.262235 0.101186 0.104560
0.106248 0.5483 0.181149 0.18492 0.396912 0.129235 0.138874 0.701297 0.227041 0.234997 0.464717 0.161817 0.161428 0.823056 0.268636 0.273093 0.104560 0.107936
0.109623 0.630131 0.196615 0.19606 0.455448 0.160135 0.147168 0.806671 0.22928 0.248288 0.536597 0.166373 0.166115 0.937598 0.291757 0.293872 0.107936 0.111310
0.112998 0.715298 0.191109 0.200192 0.523167 0.176347 0.14984 0.909471 0.234778 0.26831 0.609884 0.17299 0.168155 1.06182 0.314565 0.318646 0.111310 0.114686
0.116373 0.807734 0.206312 0.226857 0.592057 0.190545 0.159804 1.02571 0.24804 0.294948 0.680098 0.186815 0.171457 1.22731 0.310999 0.358011 0.114686 0.118060
0.119748 0.896612 0.226936 0.236739 0.660785 0.186386 0.168796 1.13495 0.260668 0.312022 0.761974 0.201818 0.192203 1.3392 0.29495 0.380792 0.118060 0.121435
0.123123 0.997238 0.229402 0.267269 0.728572 0.196335 0.177364 1.26876 0.271035 0.354081 0.848919 0.21813 0.214785 1.4848 0.309785 0.414323 0.121435 0.124811
0.126498 1.09273 0.242346 0.284177 0.796084 0.206028 0.196005 1.39254 0.29316 0.387586 0.922676 0.236382 0.224618 1.65175 0.348673 0.474127 0.124811 0.128185
0.129873 1.20812 0.279936 0.313203 0.873215 0.214414 0.213066 1.54659 0.321816 0.423998 1.00768 0.238637 0.242347 1.867 0.409269 0.521575 0.128185 0.131561
0.133248 1.33211 0.310858 0.335969 0.963144 0.242227 0.235495 1.705 0.375564 0.475679 1.10283 0.260762 0.263449 2.08582 0.462502 0.564517 0.131561 0.134935
0.137045 1.46385 0.338307 0.363842 1.06411 0.281579 0.263929 1.86784 0.387528 0.512113 1.20084 0.284856 0.291058 2.32842 0.481308 0.646944 0.134935 0.139154
0.141685 1.62721 0.39697 0.398582 1.185 0.302452 0.286804 2.07413 0.410872 0.546964 1.34982 0.336354 0.322699 2.53905 0.515653 0.697638 0.139154 0.144217
0.146748 1.83166 0.413829 0.453727 1.34585 0.318411 0.332139 2.32264 0.489871 0.629007 1.51323 0.369239 0.348042 2.87844 0.573357 0.830229 0.144217 0.149279
0.151810 2.04794 0.456445 0.519826 1.49421 0.368082 0.355163 2.60757 0.555094 0.737624 1.70067 0.410079 0.387984 3.18953 0.627884 0.976979 0.149279 0.154342
0.156873 2.29152 0.493247 0.625972 1.66996 0.410098 0.397341 2.91968 0.608189 0.848546 1.9015 0.455393 0.460071 3.57361 0.785487 1.10294 0.154342 0.159404
0.161935 2.53833 0.536218 0.719256 1.84958 0.447393 0.436034 3.23441 0.645364 0.980145 2.10208 0.507826 0.51106 3.97238 0.859352 1.26162 0.159404 0.164467
0.166998 2.81365 0.67314 0.781465 2.03453 0.480055 0.483664 3.60106 0.770882 1.07009 2.33514 0.565193 0.601529 4.38664 1.02464 1.34305 0.164467 0.169529
0.172060 3.08966 0.832619 0.8531 2.2205 0.498077 0.537894 3.96807 0.850346 1.17263 2.54801 0.638077 0.652959 4.8702 1.15766 1.50952 0.169529 0.174591
0.177123 3.38382 0.898319 0.937026 2.42324 0.574833 0.587544 4.35463 0.904 1.27797 2.77657 0.72121 0.71432 5.38001 1.23002 1.66182 0.174591 0.179654
0.182185 3.69759 0.936308 1.0383 2.65467 0.594021 0.666125 4.7516 0.964955 1.41772 3.02021 0.82677 0.791557 5.92429 1.3189 1.87495 0.179654 0.184716
0.187248 4.02788 0.972262 1.1573 2.88451 0.631532 0.740995 5.18342 1.05988 1.52378 3.26615 0.881671 0.873163 6.53189 1.41565 2.05664 0.184716 0.189779
0.192310 4.34223 0.99726 1.27127 3.12353 0.672382 0.839137 5.57389 1.2148 1.66461 3.49501 0.904133 0.943379 7.12723 1.54392 2.29431 0.189779 0.194842
0.197373 4.68006 1.03754 1.38725 3.41784 0.675537 0.947576 5.9557 1.40701 1.81729 3.76713 0.945669 1.043 7.68108 1.76437 2.43859 0.194842 0.199904
0.202435 5.07791 1.08994 1.52301 3.68663 0.787856 1.06507 6.48398 1.52505 1.97037 4.05071 0.98021 1.12395 8.45453 2.00662 2.65323 0.199904 0.204967
0.207498 5.42288 1.28015 1.6251 3.9115 0.861211 1.17107 6.95033 1.66326 2.12476 4.29092 0.998843 1.21066 9.1439 2.3956 2.88091 0.204967 0.210029
0.212560 5.85238 1.36985 1.75077 4.18823 0.899497 1.24765 7.53423 1.94502 2.30436 4.58295 1.02319 1.31014 10.0253 2.80298 3.13301 0.210029 0.215091
0.217623 6.28321 1.57596 1.88303 4.52347 0.988287 1.36195 8.06165 2.1443 2.43398 4.91717 1.12307 1.41163 10.7737 3.14211 3.35281 0.215091 0.220154
0.222685 6.72293 1.71396 1.97952 4.81759 1.05724 1.41988 8.64854 2.1708 2.57648 5.27101 1.31068 1.52444 11.4958 2.95676 3.39317 0.220154 0.225217
0.227748 7.13419 1.81887 2.09297 5.15997 1.16964 1.50905 9.1294 2.42746 2.66128 5.63956 1.45209 1.64605 12.0474 3.0161 3.53926 0.225217 0.230279
0.232810 7.61233 1.88459 2.1407 5.50063 1.24677 1.62484 9.7465 2.67165 2.73976 6.01761 1.48023 1.77367 12.8546 3.41078 3.63601 0.230279 0.235342
0.237873 8.06883 2.05993 2.26744 5.79974 1.40701 1.68054 10.3621 2.61987 2.95624 6.37745 1.57101 1.84246 13.6288 3.77558 3.81223 0.235342 0.240404
0.242935 8.62731 2.33236 2.39709 6.26814 1.54115 1.80902 11.0116 2.71145 3.01147 6.80787 1.75212 1.91441 14.6082 4.05817 3.98647 0.240404 0.245467
0.247998 9.20189 2.42659 2.50228 6.73874 1.56653 1.9688 11.6912 2.65141 3.11905 7.23364 1.94416 1.9708 15.672 3.98918 4.30146 0.245467 0.250529
