#Scale: 0.903592
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1094.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 436.87 22.6512 11.2635 226.579 0.535645 30.5559 791.673 72.6411 32.6491 379.709 18.1848 27.2016 0.1 0.158489
0.210017 304.763 16.5032 6.09421 158.614 1.44064 18.2782 534.911 55.6412 9.89801 272.825 7.87723 21.0651 0.158489 0.251189
0.332855 215.947 8.55069 5.99315 119.983 -2.75066 15.9035 369.295 36.9258 11.0789 193.921 3.40523 13.6158 0.251189 0.398107
0.52754 151.668 6.70329 2.24731 86.2376 0.359245 7.99897 250.383 22.6931 7.06488 139.416 3.26288 6.67908 0.398107 0.630957
0.836094 100.158 4.36036 1.02982 63.4488 1.34802 4.39043 150.792 13.0879 1.58826 95.5354 1.21633 4.28516 0.630957 1
1.32512 64.681 2.01441 0.666512 45.5583 0.590652 2.70689 91.5556 5.90311 2.1217 62.0366 1.0597 1.72359 1 1.58489
2.10017 42.0739 1.61021 0.163113 30.9764 0.948895 1.02819 55.7541 2.95451 0.746719 41.4472 0.99398 0.89706 1.58489 2.51189
3.32855 28.9118 0.888943 0.121466 21.9563 0.698778 0.789499 37.6398 1.84862 0.643024 28.4461 0.597143 0.463482 2.51189 3.98107
5.2754 20.0671 0.59362 0.186489 15.6366 0.25826 0.694561 25.3832 1.46262 0.363894 19.8859 0.362621 0.327398 3.98107 6.30957
8.36094 13.7764 0.234744 0.277952 10.484 0.052742 0.642591 17.4909 0.685274 0.343182 13.7535 0.0424232 0.463256 6.30957 10
