#Scale: 0.166998
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 5924.1 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 -160 0 0 -160 0 0 -160 0 0 -160 0 0 0.1 0.158489
0.210017 -160 0 0 -160 0 0 -160 0 0 -160 0 0 0.158489 0.251189
0.332855 -160 5939.58 0 -160 0 0 -160 0 0 -160 0 0 0.251189 0.398107
0.52754 -160 0 0 -160 0 0 -160 0 0 -160 0 0 0.398107 0.630957
0.836094 1353.42 974.766 1513.42 1857.89 1504.38 2017.89 -160 0 0 -160 0 0 0.630957 1
1.32512 1045 332.939 1205 643.336 163.358 803.336 -160 0 0 2422.15 2051.17 2582.15 1 1.58489
2.10017 -160 174.548 0 -160 199.792 0 -160 0 0 -160 0 0 1.58489 2.51189
3.32855 126.47 141.472 185.252 94.6403 149.006 254.64 -160 0 0 249.243 183.229 409.243 2.51189 3.98107
5.2754 30.0765 52.2829 115.279 -7.93883 85.9314 152.061 -160 0 0 165.845 49.2694 325.845 3.98107 6.30957
8.36094 21.6099 19.9055 65.6345 41.7888 19.8803 90.2739 -160 235.42 0 -30.2786 88.8832 129.721 6.30957 10
