#Scale: 0.364435
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2714.7 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 644.855 49.6845 63.7401 355.606 38.349 40.9584 1946.82 101.915 324.141 690.674 67.8049 115.987 0.1 0.158489
0.210017 367.309 9.57077 32.6562 179.925 19.2509 11.6096 1130.37 27.4719 271.225 414.575 17.3285 67.951 0.158489 0.251189
0.332855 188.339 9.51064 11.3583 109.424 14.406 3.95433 523.871 34.1997 98.7853 205.145 10.157 26.9436 0.251189 0.398107
0.52754 117.175 3.91238 5.44257 81.1813 6.24465 2.09203 250.618 -5.3596 50.8641 129.126 5.73697 10.1716 0.398107 0.630957
0.836094 81.4263 1.98425 3.11715 63.0473 5.75958 0.0170937 136.154 5.47078 14.9213 90.4615 -0.421471 10.2425 0.630957 1
1.32512 58.6147 1.55134 2.21071 46.0003 0.720947 2.83269 104.67 -1.51739 16.4935 62.9586 4.1849 1.7948 1 1.58489
2.10017 43.4097 1.11462 1.3526 34.7834 1.68027 0.632748 70.8555 -0.898972 9.66752 47.2658 1.55759 2.48166 1.58489 2.51189
3.32855 30.204 0.92555 0.500422 24.5217 1.27629 0.211182 48.3961 0.0234642 6.63115 32.7193 1.49098 0.964142 2.51189 3.98107
5.2754 19.15 0.666008 0.145746 15.3634 1.18793 0.274761 28.0023 0.698111 1.80575 21.5415 0.428123 0.678171 3.98107 6.30957
8.36094 12.6861 0.355912 0.352234 9.91619 0.597359 0.2292 18.8972 0.711691 1.41384 14.4934 0.293121 0.878258 6.30957 10
