#Scale: 0.949154
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1042.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 449.852 13.3658 21.204 232.127 1.13963 39.0521 780.519 39.0898 40.5816 389.26 7.47208 39.7905 0.1 0.158489
0.210017 311.178 16.6166 7.48312 158.523 0.253235 23.504 537.503 40.6541 13.7454 271.495 9.41507 17.2756 0.158489 0.251189
0.332855 226.687 7.58446 6.62621 125.636 -0.592094 18.3053 376.762 26.5918 11.7552 200.288 2.36551 16.4388 0.251189 0.398107
0.52754 155.851 7.53395 2.04831 88.4013 3.30983 8.03927 250.891 16.0003 6.63962 140.835 4.2621 6.82706 0.398107 0.630957
0.836094 104.713 4.15376 0.916801 63.3622 2.4501 4.3377 161.548 8.82625 4.39459 96.2336 1.90264 4.25182 0.630957 1
1.32512 67.1913 1.92278 0.7715 47.5662 0.759186 3.1107 94.4615 3.24455 2.68769 63.0164 1.459 1.93791 1 1.58489
2.10017 44.3921 0.540138 0.950222 33.1963 0.610432 1.83192 56.9207 1.40815 1.22123 43.5476 0.0237694 1.95668 1.58489 2.51189
3.32855 30.064 1.01191 0.170475 23.9348 0.479488 1.14168 37.2731 1.16345 0.126755 29.4238 0.685976 0.389057 2.51189 3.98107
5.2754 20.5276 0.717991 0.0497704 16.7443 0.379402 0.761407 25.1504 0.982147 0.00983047 20.0447 0.703712 0.140676 3.98107 6.30957
8.36094 13.8619 0.619323 -0.00943851 10.9635 0.527556 0.234272 16.632 0.998524 -0.170952 13.8836 0.349553 0.211359 6.30957 10
