#Scale: 0.242935
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 4072.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 616.775 52.9077 37.8533 473.749 55.8545 56.9989 2590.26 921.292 430.128 988.603 122.475 279.416 0.1 0.158489
0.210017 324.857 22.8132 22.1109 256.915 27.969 25.1093 1777.13 154.69 664.923 465.423 89.927 108.392 0.158489 0.251189
0.332855 178.427 10.1483 7.04602 159.11 4.41162 17.0959 544.124 181.09 145.489 221.699 35.043 20.1371 0.251189 0.398107
0.52754 116.52 11.5477 1.97989 110.862 12.1175 4.03478 160.362 111.661 8.86104 133.628 14.0776 13.1968 0.398107 0.630957
0.836094 86.4257 4.74795 3.34818 76.5413 4.7395 3.4653 222.616 24.9236 59.3846 112.136 11.2182 15.6028 0.630957 1
1.32512 63.0272 4.20388 1.61111 55.6823 6.59935 0.19326 138.297 -7.75143 57.8146 83.9484 -0.341934 13.0924 1 1.58489
2.10017 43.182 1.61975 1.48467 38.7709 1.95697 2.37486 115.409 3.5543 38.9247 53.8535 4.26883 5.12926 1.58489 2.51189
3.32855 29.6815 0.710878 0.910273 25.6998 1.50867 1.14192 61.1286 8.92432 9.39425 41.6783 1.18723 6.8915 2.51189 3.98107
5.2754 20.4883 0.545441 1.38574 16.9057 1.3781 1.08054 52.6404 -3.26816 20.3133 31.0127 1.05073 6.49779 3.98107 6.30957
8.36094 11.6059 0.788731 -0.051405 8.93027 1.41518 0.17391 35.3465 3.27282 15.7203 19.4849 3.6598 3.98182 6.30957 10
