#Scale: 0.202435
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 4887.1 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 3802.11 7581.77 3962.11 -160 8854.48 0 317682 -239254 317842 -160 18146.8 0 0.1 0.158489
0.210017 -160 3580.54 0 -160 3435.34 0 -160 0 0 -160 5818.8 0 0.158489 0.251189
0.332855 1095.9 564.193 479.596 637.931 596.085 797.931 -160 0 0 2971.01 2132.22 3131.01 0.251189 0.398107
0.52754 1339.95 38.8082 926.494 1745.97 -72.8901 1177.08 -160 0 0 -160 1125.86 0 0.398107 0.630957
0.836094 138.571 566.827 6.19591 219.391 679.71 27.5457 -160 0 0 -160 682.349 0 0.630957 1
1.32512 275.832 146.986 36.7225 242.768 153.058 54.1396 -160 1015.33 0 432.66 299.523 249.129 1 1.58489
2.10017 250.109 -35.2082 127.947 240.862 -24.2222 156.303 -160 733.69 0 311.885 38.8279 243.963 1.58489 2.51189
3.32855 97.4603 24.0442 41.0897 95.3378 52.2586 38.4044 343.745 -78.1319 503.745 90.4809 26.8468 89.6881 2.51189 3.98107
5.2754 44.9936 17.4038 23.197 36.9504 21.4699 17.8834 40.5444 119.77 200.544 76.8308 26.816 70.2307 3.98107 6.30957
8.36094 22.1283 23.9378 8.5735 10.7257 26.5573 7.05702 159.353 150.15 116.324 58.342 25.2459 37.248 6.30957 10
