#Scale: 0.766904
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1290.0 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 916.466 115.743 4.80212 215.641 90.8617 69.0049 1443.85 185.902 45.8878 576.386 34.8633 72.4775 0.1 0.158489
0.210017 585.888 64.905 -7.70142 188.939 55.8684 26.9905 896.108 89.4714 19.5057 381.951 29.0361 18.7444 0.158489 0.251189
0.332855 350.133 28.9154 0 65.7373 46.4221 0.838013 551.867 39.3967 38.3171 224.195 19.1536 9.696 0.251189 0.398107
0.52754 221.421 11.5776 3.29512 110.097 -1.30677 25.3589 304.07 23.055 16.0277 168.505 8.07796 10.8494 0.398107 0.630957
0.836094 135.693 10.4185 0.0254211 75.892 1.47291 13.7003 180.505 16.097 5.65779 106.859 8.16575 2.43616 0.630957 1
1.32512 80.7014 7.49519 0.162857 63.1935 -1.09004 12.1709 99.1465 9.39059 0.567619 67.026 7.77248 0.946617 1 1.58489
2.10017 57.3876 3.41367 1.19889 42.1044 2.90614 5.18325 66.9021 5.16866 -0.145523 51.9235 0.595276 3.57291 1.58489 2.51189
3.32855 39.0379 1.30341 0.698288 27.8829 1.76197 2.58439 45.2988 1.71091 1.17581 35.7216 1.07354 1.3477 2.51189 3.98107
5.2754 27.4351 1.57199 0.0461826 17.5577 2.79299 0.54825 32.364 1.49479 0.567396 25.1029 1.24875 0.441254 3.98107 6.30957
8.36094 17.7671 1.54944 0.254999 12.2365 2.3426 1.07762 20.7416 1.03217 0.225119 16.2502 1.51017 0.53367 6.30957 10
