#Scale: 0.668185
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1480.6 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 877.205 213.526 -24.1118 225.385 90.4834 74.4438 1477.64 181.813 46.2085 497.963 111.779 7.21222 0.1 0.158489
0.210017 576.558 72.3294 15.2289 181.719 39.6465 34.9942 954.441 52.822 86.3903 333.728 49.5284 23.2113 0.158489 0.251189
0.332855 307.355 63.7104 -5.55865 98.1996 42.6675 19.729 505.906 40.687 23.1133 180.223 54.4478 -1.64618 0.251189 0.398107
0.52754 187.012 27.3815 -0.741318 63.2667 41.9812 -3.93443 286.895 23.9917 13.9307 128.064 14.955 11.9188 0.398107 0.630957
0.836094 122.308 15.9848 -1.17989 71.0106 14.1866 3.04727 166.965 17.0572 7.99216 94.865 10.7626 2.18698 0.630957 1
1.32512 71.0854 8.38421 -0.854286 36.9845 7.52011 2.91655 92.1206 7.51711 1.73576 60.8436 7.7061 2.6314 1 1.58489
2.10017 50.4984 6.05041 -0.261539 26.0274 6.51246 -0.144949 64.7524 5.21947 1.15438 43.9267 3.78183 2.40273 1.58489 2.51189
3.32855 36.366 3.44349 -0.502785 22.5305 3.84698 0.433985 46.297 2.54717 1.24268 30.9189 3.0621 -0.0307617 2.51189 3.98107
5.2754 24.6668 2.92996 0.0877514 14.4354 2.61999 1.34927 31.9939 1.359 0.939545 20.6545 2.83827 0.362684 3.98107 6.30957
8.36094 15.7912 1.74427 0.193579 6.65325 2.93682 -0.376484 21.3921 0.785538 1.26998 13.0799 1.58796 0.378286 6.30957 10
