#Scale: 0.506185
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1954.5 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 291.658 21.3099 20.3318 178.67 13.5644 15.9321 831.153 102.851 64.1558 373.91 31.7205 37.4804 0.1 0.158489
0.210017 204.95 7.08389 16.5597 130.501 7.87215 10.4884 543.932 50.8416 51.1451 261.869 7.83078 31.7031 0.158489 0.251189
0.332855 130.602 5.98468 6.49366 93.6675 6.34647 6.30939 311.261 15.3872 40.6054 156.779 7.99117 8.84109 0.251189 0.398107
0.52754 86.0645 3.79536 2.8763 65.1719 3.13382 4.2091 173.027 19.1791 11.5083 103.384 4.38696 4.67274 0.398107 0.630957
0.836094 58.0042 1.38321 1.91159 47.2576 1.61112 2.81719 97.6681 10.0564 3.01031 67.749 1.62934 3.22045 0.630957 1
1.32512 42.2031 0.363358 1.83151 35.907 0.279778 2.63178 64.7174 5.54135 1.91629 48.0315 0.652813 1.91378 1 1.58489
2.10017 31.4144 0.181616 1.49285 26.2533 0.366726 1.38152 50.7678 1.02888 4.31942 36.0441 0.108757 1.83858 1.58489 2.51189
3.32855 21.7356 0.162588 0.705231 18.8036 0.165846 0.904095 33.5527 0.839611 2.16156 24.23 0.286348 0.739725 2.51189 3.98107
5.2754 14.9633 0.139732 0.434956 13.0465 0.141459 0.546127 21.4741 0.665022 0.873087 16.7943 0.137674 0.620989 3.98107 6.30957
8.36094 9.97074 0.0469885 0.343684 8.90333 0.0348816 0.502634 13.4322 0.583464 0.347262 11.0175 0.127975 0.30455 6.30957 10
