#Scale: 0.222685
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 4442.7 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 873.878 20.8395 140.413 645.565 83.3998 105.742 4972.23 -511.49 3099.13 1506.5 136.569 480.003 0.1 0.158489
0.210017 396.723 18.9973 56.6268 302.899 27.9952 48.5541 2254.67 -172.862 1452.6 645.614 96.2306 193.323 0.158489 0.251189
0.332855 207.498 19.6428 14.6672 195.318 10.9296 25.7746 579.458 174.989 199.505 231.468 69.7671 20.7919 0.251189 0.398107
0.52754 112.622 14.6483 4.58413 99.4133 16.0216 3.28716 75.507 217.029 -62.9194 166.714 16.1873 41.0996 0.398107 0.630957
0.836094 100.599 5.94292 8.8774 100.095 2.80214 12.7318 115.411 79.6305 4.79884 101.629 22.1439 3.45986 0.630957 1
1.32512 69.9033 6.50954 3.47994 69.5101 3.0464 7.14254 52.2879 52.5723 0.565643 72.5665 20.8295 0 1 1.58489
2.10017 46.2967 3.9814 1.05519 42.4503 3.02694 3.26079 92.6113 25.8549 23.2772 58.4044 11.0927 3.24516 1.58489 2.51189
3.32855 29.1572 1.14657 1.49427 25.3916 1.30424 1.59406 57.0311 23.305 10.8689 42.1248 5.93225 7.40369 2.51189 3.98107
5.2754 20.9111 1.11504 0.647606 19.5993 0.40239 2.03015 31.791 18.3329 2.49502 25.3537 7.86395 0.794601 3.98107 6.30957
8.36094 13.1572 0.556849 0.811453 10.8722 0.765841 1.40103 34.077 14.5301 10.224 20.7708 5.41066 4.96224 6.30957 10
