#Scale: 0.161935
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 6109.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 8524.14 542.743 5699.37 2445.61 3839.65 2605.61 -160 0 0 40715.5 488.262 40875.5 0.1 0.158489
0.210017 5025.83 3873.64 1413.4 6063.87 2477.46 2931.01 -160 0 0 -160 14541.8 0 0.158489 0.251189
0.332855 184.086 1213.83 344.086 252.961 1304.86 412.961 -160 0 0 -160 3656.21 0 0.251189 0.398107
0.52754 1209.83 124.024 561.561 1484.03 67.2711 867.19 -160 0 0 -160 1524.46 0 0.398107 0.630957
0.836094 385.339 186.21 157.954 298.15 245.087 170.965 -160 0 0 866.746 134.884 1026.75 0.630957 1
1.32512 317.628 109.912 67.616 309.01 107.449 93.4456 -160 0 0 385.007 372.867 242.648 1 1.58489
2.10017 116.577 13.4862 55.9087 130.447 -0.0644836 74.4567 -160 558.243 0 56.971 184.389 83.9994 1.58489 2.51189
3.32855 36.1289 43.086 8.45922 17.5733 52.7811 -6.32658 302.213 0 462.213 120.728 20.9155 122.007 2.51189 3.98107
5.2754 18.0779 35.1605 -2.44947 17.5551 38.5444 -2.7533 208.02 445.954 368.02 11.938 50.8521 32.3495 3.98107 6.30957
8.36094 15.0539 12.4118 6.18322 9.1881 21.5133 -0.949053 59.7673 137.949 219.767 43.638 -17.9978 63.7326 6.30957 10
