#Scale: 0.313810
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 3152.6 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1431.74 660.605 141.75 388.187 508.952 2.21069 7006.48 1193.25 2727.91 1406 388.203 168.838 0.1 0.158489
0.210017 720.114 249.116 82.6454 512.898 235.907 126.491 1932.22 448.639 558.255 692.029 260.644 123.045 0.158489 0.251189
0.332855 484.699 57.7514 69.5659 267.169 22.5251 89.5024 672.928 546.371 -140.662 692.133 -27.4335 193.93 0.251189 0.398107
0.52754 213.83 29.0126 25.8138 171.471 25.5596 22.407 382.609 90.4977 102.195 225.351 31.7873 51.4087 0.398107 0.630957
0.836094 159.861 36.805 11.2579 134.904 36.0653 24.368 314.037 -24.0488 118.531 154.689 57.1719 -0.756668 0.630957 1
1.32512 93.3517 30.4752 4.11324 56.534 38.5608 -4.25771 172.047 51.8297 25.3198 118.226 13.6843 15.6327 1 1.58489
2.10017 70.2379 16.658 7.07616 54.7819 15.1516 6.16522 142.421 16.5198 39.0182 72.1259 15.1734 6.37527 1.58489 2.51189
3.32855 38.7355 8.00227 2.48795 23.3931 11.4099 -1.8082 85.3352 -2.13012 32.937 46.0839 5.45481 4.87363 2.51189 3.98107
5.2754 28.3098 2.98706 1.96729 22.165 5.45511 1.21231 61.2641 -7.28148 20.3034 28.1302 2.50703 2.77439 3.98107 6.30957
8.36094 15.0352 3.40948 0.0793991 5.77746 5.617 -1.59682 30.5147 0.708551 6.19882 22.2312 0.72368 3.87066 6.30957 10
