#Scale: 0.435310
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2272.7 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 307.381 14.3579 29.0369 174.236 18.1247 11.8517 1010.38 80.6855 151.788 434.269 25.2345 67.5168 0.1 0.158489
0.210017 205.872 8.09648 18.718 139.013 7.58327 15.0318 561.387 59.6166 66.0015 269.224 14.4434 33.9008 0.158489 0.251189
0.332855 126.405 5.05141 8.76373 90.9893 5.9572 8.03168 317.6 36.2227 32.6454 159.544 7.97874 12.5464 0.251189 0.398107
0.52754 81.1045 3.73362 3.85009 63.6953 2.79353 5.34781 167.021 19.9648 8.5005 98.5678 5.21389 4.78841 0.398107 0.630957
0.836094 57.364 1.54682 2.02813 45.8823 2.01473 2.82008 106.084 13.5321 5.61038 70.0355 1.62257 4.07536 0.630957 1
1.32512 40.361 0.582096 1.6751 32.9131 1.17636 1.15337 75.6152 -0.853287 9.17705 48.0501 0.668106 2.82566 1 1.58489
2.10017 29.8925 0.294416 1.19686 24.3505 0.751263 1.01764 56.1098 0.26688 6.06513 35.6163 0.176399 1.91414 1.58489 2.51189
3.32855 20.9766 0.179562 0.722496 17.6795 0.319187 0.865776 37.0906 -0.19772 4.53081 24.3068 0.416601 0.92642 2.51189 3.98107
5.2754 14.0876 0.291987 0.233001 12.0905 0.377175 0.321472 22.3966 0.922478 1.02327 16.3157 0.24568 0.553986 3.98107 6.30957
8.36094 9.11511 0.149304 0.25256 7.83914 0.170036 0.486749 14.7897 0.799129 0.660292 10.4855 0.267423 0.192997 6.30957 10
