#Scale: 0.759310
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1302.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 405.729 21.021 10.9225 196.949 8.16158 17.7043 797.347 51.5566 67.5027 364.447 16.3301 22.963 0.1 0.158489
0.210017 273.616 16.2374 5.96182 141.073 12.4268 6.84357 514.944 40.1122 27.9374 250.481 4.58333 18.3254 0.158489 0.251189
0.332855 189.787 9.71184 3.51103 106.409 1.43459 9.98285 337.339 32.1818 12.3005 177.029 4.26135 10.8231 0.251189 0.398107
0.52754 129.614 6.40392 2.2981 78.4855 1.17181 5.94347 215.602 17.2313 8.65669 123.685 2.42448 6.25639 0.398107 0.630957
0.836094 88.0031 4.014 1.2792 58.245 2.05606 2.94149 135.999 8.771 4.8299 85.4168 2.16611 3.39606 0.630957 1
1.32512 58.0762 1.30214 1.24218 42.7372 -0.170364 3.02765 82.3627 3.69491 2.94674 56.9341 0.799824 2.11595 1 1.58489
2.10017 39.0046 0.833317 0.456787 30.8771 0.253002 1.38876 49.6168 2.77608 0.46804 39.3505 0.212078 1.26954 1.58489 2.51189
3.32855 27.0354 0.664274 0.255407 22.372 -0.0258808 1.00102 33.4668 1.73528 0.0610199 27.0896 0.330076 0.525949 2.51189 3.98107
5.2754 18.7578 0.412384 0.13644 15.3133 0.212787 0.591741 23.1651 0.660582 0.505123 18.9425 0.386217 0.215298 3.98107 6.30957
8.36094 12.5866 0.307364 0.119767 10.2701 0.188866 0.417865 15.68 0.399122 0.365064 12.6562 0.232263 0.233556 6.30957 10
