#Scale: 0.994717
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 994.6 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 441.037 20.103 11.9596 231.137 6.54663 26.124 720.121 39.2336 45.9396 382.013 13.5108 26.8078 0.1 0.158489
0.210017 329.465 12.4329 9.86972 162.511 5.46324 18.8457 546.592 29.7531 27.1432 285.198 3.27164 28.2158 0.158489 0.251189
0.332855 237.392 8.54271 6.11734 117.074 2.95411 18.6374 396.382 23.1673 20.2229 204.103 3.77997 19.7469 0.251189 0.398107
0.52754 164.611 6.38266 2.52704 91.0691 2.02965 9.13045 261.181 13.5827 13.1776 144.6 4.9416 8.72403 0.398107 0.630957
0.836094 109.42 4.26905 1.47472 68.8775 0.861717 5.93874 163.443 7.0372 7.31178 97.955 3.04777 4.89857 0.630957 1
1.32512 69.3712 1.75255 0.794609 47.8736 1.25379 3.11915 94.6849 4.24236 2.76495 65.1309 0.310959 3.25634 1 1.58489
2.10017 45.2353 0.954342 0.41674 34.5957 0.00363159 2.68425 56.4657 2.30258 0.645859 43.8533 0.523319 1.60777 1.58489 2.51189
3.32855 31.1198 0.461113 0.356251 23.923 0.534731 0.940912 39.0464 0.564072 1.25099 30.0026 0.284193 0.855635 2.51189 3.98107
5.2754 21.182 0.499905 0.231985 16.6142 0.2202 0.953357 25.6537 1.08369 0.324507 20.7817 0.140142 0.634987 3.98107 6.30957
8.36094 14.6076 0.137585 0.321255 11.6771 -0.191495 0.911829 17.6585 0.613523 0.436192 14.2503 0.00712395 0.57731 6.30957 10
