#Scale: 0.774498
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1277.4 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 400.084 19.5555 13.561 197.983 7.81172 17.5049 785.84 53.6801 70.844 354.985 17.479 22.8103 0.1 0.158489
0.210017 279.379 13.7467 6.92389 144.736 8.77376 10.1271 527.805 40.2692 32.5866 252.977 5.61569 16.8782 0.158489 0.251189
0.332855 193.229 10.8054 4.009 104.512 4.38136 9.73972 352.897 23.7784 22.7427 177.542 8.17233 8.00948 0.251189 0.398107
0.52754 130.524 7.18568 0.664642 80.8272 3.22726 6.20982 220.074 18.3963 7.76277 121.691 5.0212 3.0404 0.398107 0.630957
0.836094 89.0833 4.27198 0.645592 58.8665 1.35349 3.92154 138.313 8.28255 4.14078 85.9302 3.33897 2.53136 0.630957 1
1.32512 58.4429 1.87119 0.745865 41.0088 1.31247 1.83707 83.4103 4.21421 2.71405 58.0844 1.10044 1.77299 1 1.58489
2.10017 38.3691 1.61039 0.0400085 28.9238 1.58097 0.672825 51.4042 2.17011 1.08112 38.3838 1.25283 0.480614 1.58489 2.51189
3.32855 27.1732 1.04529 0.0567627 21.5435 0.571604 0.929585 34.7996 1.70709 0.123734 27.2427 0.943827 0.195448 2.51189 3.98107
5.2754 18.489 0.701153 0.0503731 14.7905 0.55628 0.494234 22.8611 1.46852 -0.159925 18.8058 0.349627 0.265203 3.98107 6.30957
8.36094 12.4743 0.466438 0.0975637 9.86831 0.344926 0.353445 16.0231 0.634438 0.311409 12.4985 0.443626 0.130667 6.30957 10
