#Scale: 0.835248
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1184.5 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 981.173 133.695 0.513245 387.756 148.615 44.3581 1458.12 220.166 17.2479 633.876 58.2252 52.143 0.1 0.158489
0.210017 626.861 61.6477 18.4866 193.62 45.3459 50.9202 944.415 67.9901 59.2954 404.882 52.7481 19.0596 0.158489 0.251189
0.332855 384.846 25.4919 0.692596 136.808 52.0161 -8.98834 541.657 37.1905 19.5834 283.504 13.1943 18.5043 0.251189 0.398107
0.52754 234.92 14.3123 2.41064 93.6034 25.4735 7.13191 322.537 22.5714 14.4838 178.959 8.01715 13.3081 0.398107 0.630957
0.836094 142.014 3.30156 5.38336 62.933 8.33858 8.71791 188.069 4.8011 13.1192 113.764 3.26978 8.15752 0.630957 1
1.32512 88.1181 2.04154 3.11048 47.555 8.11205 2.8517 110.982 4.20618 6.85715 74.4089 1.17735 5.66591 1 1.58489
2.10017 53.6228 3.59116 0.400349 30.9546 9.3749 -1.08227 63.0973 3.94315 1.23681 49.3637 2.2257 2.19785 1.58489 2.51189
3.32855 39.1542 2.00743 0.299534 19.4105 7.29866 -2.21783 47.6175 0.959496 1.70685 35.2272 2.03799 1.00572 2.51189 3.98107
5.2754 27.0027 2.05977 0.185997 17.6905 2.96567 0.38118 31.9366 1.78114 0.485144 24.18 2.13219 0.40074 3.98107 6.30957
8.36094 17.1401 2.05882 -0.0450783 10.541 3.54954 -0.715788 20.684 1.21218 0.403591 15.091 1.94609 -0.167726 6.30957 10
