#Scale: 0.334060
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2961.5 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 749.193 58.7408 85.0573 448.429 51.3114 66.5365 2557.29 173.891 551.867 820.42 101.121 157.844 0.1 0.158489
0.210017 378.207 37.7931 14.0248 196.355 42.7712 5.26761 1300.85 53.0951 289.504 452.859 61.0767 43.702 0.158489 0.251189
0.332855 203.2 11.2041 10.4753 114.395 30.3478 -4.32695 557.768 33.0032 110.373 257.43 -0.95282 46.9234 0.251189 0.398107
0.52754 131.326 8.11938 5.25039 102.092 11.0012 1.7897 281.811 12.8723 46.1162 142.926 9.60591 14.41 0.398107 0.630957
0.836094 89.3846 2.99114 2.63738 67.7655 6.97139 2.49328 170.483 -0.976791 31.1963 103.552 2.73965 6.06483 0.630957 1
1.32512 65.6697 0 3.61829 53.5077 1.51936 2.90295 116.025 0.36203 18.8554 72.7637 0.127487 6.81724 1 1.58489
2.10017 44.701 1.42274 1.39561 36.1349 2.18768 1.30183 78.4982 2.77065 8.01857 50.0068 0.830208 3.49288 1.58489 2.51189
3.32855 32.9183 0.453579 1.21929 27.5227 0.408079 1.73865 51.7969 3.47755 6.23055 36.7065 0.939079 2.27792 2.51189 3.98107
5.2754 20.2304 0.988195 0.180029 16.9917 0.776592 0.661665 29.9057 2.12339 1.1027 22.8108 1.24389 0.743181 3.98107 6.30957
8.36094 13.6075 0.362869 0.429669 10.7705 0.618395 0.234054 23.2914 1.09781 3.35966 15.6442 0.375491 1.06907 6.30957 10
