#Scale: 0.979529
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1010.0 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1026.37 76.1233 40.05 632.967 -41.0847 301.405 1313.13 215.589 93.785 693.671 47.4719 97.5847 0.1 0.158489
0.210017 680.857 39.7868 11.8266 348.177 -27.5708 161.284 873.388 97.084 40.4727 469.687 25.3933 57.1718 0.158489 0.251189
0.332855 400.7 21.1178 7.66586 235.422 5.69249 72.771 510.515 51.4177 34.691 275.899 23.1054 19.007 0.251189 0.398107
0.52754 251.912 15.2078 2.53404 179.857 -16.9329 61.8328 302.19 38.4831 9.3515 194.128 11.6639 18.2325 0.398107 0.630957
0.836094 149.906 7.51448 1.70236 95.7819 -0.784081 20.7324 176.971 18.7833 6.311 121.529 3.35544 11.1024 0.630957 1
1.32512 92.9232 3.54193 1.17632 57.099 8.0572 8.31823 112.052 4.52458 7.24058 72.4361 6.9387 2.40771 1 1.58489
2.10017 57.564 2.82294 0.85701 44.0025 1.69908 7.82572 65.3548 4.006 2.38008 49.0368 3.29222 2.00169 1.58489 2.51189
3.32855 42.1552 1.39626 0.580914 29.7414 1.49144 4.73311 47.3293 1.6466 1.84119 37.0984 2.20696 1.20631 2.51189 3.98107
5.2754 28.6261 0.699633 0.70878 21.8573 0.761806 3.32611 30.9704 1.65769 0.817053 26.5387 0.252274 1.62199 3.98107 6.30957
8.36094 18.3402 1.08952 0.248926 14.2864 1.07436 1.60675 19.7699 1.40862 0.201042 17.0539 0.821819 0.843719 6.30957 10
