#Scale: 0.835248
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1184.5 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 424.351 19.7625 12.9274 218.799 8.87347 18.0139 785.148 70.5018 45.5913 383.586 7.31149 31.6824 0.1 0.158489
0.210017 296.685 13.5728 7.45279 141.605 8.38634 7.32672 561.052 49.9691 31.9576 269.362 3.07562 23.2281 0.158489 0.251189
0.332855 204.717 10.8851 3.32811 110.447 4.64835 7.83138 361.954 38.9159 11.7792 189.628 3.03185 13.1928 0.251189 0.398107
0.52754 140.48 6.35744 2.19376 82.5866 0.0524368 7.53352 238.358 20.3867 8.74535 130.638 4.37561 5.12853 0.398107 0.630957
0.836094 93.6439 4.70673 0.537994 59.7485 2.05104 3.27284 142.342 12.9346 1.89227 91.6518 1.96673 3.09081 0.630957 1
1.32512 59.8993 2.98885 -0.201202 42.8907 1.36298 1.77896 85.4372 7.08385 0.137367 58.4171 1.87822 0.982613 1 1.58489
2.10017 40.7276 1.26608 0.111755 31.2632 0.43259 1.39903 53.4572 3.2555 0.502991 40.5517 0.827477 0.7099 1.58489 2.51189
3.32855 28.3605 0.764389 0.242287 22.4441 0.32918 0.993696 36.4128 1.78903 0.976906 28.2089 0.518913 0.399374 2.51189 3.98107
5.2754 19.8116 0.453875 0.196047 15.4859 0.376149 0.495788 25.0802 1.0343 0.43207 19.9719 0.220009 0.470839 3.98107 6.30957
8.36094 13.5654 0.193443 0.295288 10.5723 -0.0727921 0.695045 17.6832 0.65707 0.483023 13.4694 0.186113 0.434165 6.30957 10
