#Scale: 0.334060
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2961.5 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 363.23 30.0884 25.7548 233.693 23.384 22.5824 1215.44 315.37 55.9041 578.263 49.3745 120.281 0.1 0.158489
0.210017 235.302 12.445 17.3703 164.879 15.035 15.0946 918.033 125.527 171.295 328.939 30.8265 57.2292 0.158489 0.251189
0.332855 142.581 2.34918 9.89102 112.358 3.64437 9.64225 357.732 65.8997 54.2513 191.02 6.53096 31.8153 0.251189 0.398107
0.52754 91.49 2.71948 4.32713 76.8373 5.00785 5.36082 197.081 28.9603 25.7952 114.839 2.75846 10.1813 0.398107 0.630957
0.836094 65.5233 0.99749 3.25203 56.0071 1.91802 3.33541 136.01 12.3933 15.9105 80.4847 1.53995 7.47416 0.630957 1
1.32512 48.4807 0.393898 2.73219 43.0163 0.695347 4.13313 96.9635 0 16.6392 56.2229 2.31839 2.84421 1 1.58489
2.10017 36.9804 0.192131 1.56229 33.2987 0.539627 1.84762 64.7042 2.77296 8.53083 42.7207 0.424332 3.33699 1.58489 2.51189
3.32855 24.9307 0.434967 0.829481 22.4047 0.697876 1.03026 41.5521 0.719387 5.42836 29.1236 0.698879 1.78546 2.51189 3.98107
5.2754 16.9755 0.261387 0.634106 14.9801 0.492304 0.667647 28.3943 1.58858 3.58605 20.4692 0.553688 1.72795 3.98107 6.30957
8.36094 10.7599 0.196263 0.495374 9.17568 0.561364 0.466985 20.287 -0.128 4.36491 13.4848 0.079792 1.3158 6.30957 10
