#Scale: 0.172060
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 5749.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 7272.98 1691.66 3501.06 5267.93 449.615 2858.72 168281 100102 168441 13246.1 14180.1 9566.38 0.1 0.158489
0.210017 2059.34 427.861 1299.08 1136.54 909.98 649.084 -160 0 0 7845.61 -1534.11 8005.61 0.158489 0.251189
0.332855 576.28 655.188 175.59 184.107 810.571 -40.7856 26536.2 -13964.1 26696.2 1964.73 1644.62 2124.73 0.251189 0.398107
0.52754 660.731 38.5315 283.563 593.454 12.4137 431.801 -160 1383.2 0 1108.8 438.956 1268.8 0.398107 0.630957
0.836094 236.754 164.869 10.8221 221.761 139.084 32.4693 4071.06 284.382 4231.06 176.746 609.702 71.5586 0.630957 1
1.32512 220.94 84.4504 34.2003 230.811 99.6979 40.6567 -160 602.502 0 175.153 202.373 87.824 1 1.58489
2.10017 73.0309 89.2609 -12.2983 90.664 75.8671 -1.82053 -160 281.279 0 -26.5732 257.977 -30.1373 1.58489 2.51189
3.32855 24.07 51.9602 -21.1715 18.9358 62.3589 -25.2851 -160 284.905 0 63.0963 52.5865 55.8891 2.51189 3.98107
5.2754 46.9415 17.404 7.7508 48.2272 20.6237 7.19916 52.5586 56.9169 212.559 38.7792 35.2234 24.6262 3.98107 6.30957
8.36094 11.538 9.33405 -0.668094 13.9741 10.1842 1.12606 -33.0683 112.001 64.6145 -1.72919 26.1442 6.40592 6.30957 10
