#Scale: 0.217623
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 4546.0 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 940.106 52.0681 147.933 727.195 95.494 141.897 4984.45 1273.42 2361.8 1588.28 121.582 584.86 0.1 0.158489
0.210017 368.472 78.2396 19.2599 324.962 64.6287 31.7165 864.022 624.502 139.753 520.707 200.076 89.5567 0.158489 0.251189
0.332855 213.12 26.5506 12.78 181.692 27.5899 11.438 706.3 11.7751 428.702 315.001 76.9737 59.183 0.251189 0.398107
0.52754 126.44 24.2793 -2.61942 109.449 24.9821 -1.81793 286.316 337.633 40.6011 187.898 26.0714 29.3341 0.398107 0.630957
0.836094 108.044 0.638206 10.7381 96.5699 5.68215 6.89696 243.821 21.0448 116.654 147.887 3.87622 43.0003 0.630957 1
1.32512 77.2563 3.54279 3.23836 72.7392 3.03376 4.70863 90.7921 34.219 32.7756 95.326 16.9828 8.53584 1 1.58489
2.10017 49.9582 3.30167 1.02621 47.8747 3.13341 1.89378 111.366 2.60381 48.9992 54.9963 11.5761 1.88282 1.58489 2.51189
3.32855 33.7667 -0.569504 3.47346 30.5241 -0.312826 3.64038 65.7476 28.9086 20.7566 45.4076 5.45115 9.08376 2.51189 3.98107
5.2754 22.711 0.702976 1.43416 20.9053 1.29 1.71576 34.9587 11.1892 10.9447 29.5257 5.43169 5.34731 3.98107 6.30957
8.36094 13.9543 0.0111961 1.3782 10.2275 1.75228 0.920059 45.0605 -3.58544 22.8244 27.6709 1.31024 10.7165 6.30957 10
