#Scale: 0.673248
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 1469.5 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 278.795 14.804 14.6299 163.78 8.81584 11.8297 702.586 52.1284 54.0058 318.428 11.8247 25.4426 0.1 0.158489
0.210017 206.504 11.7573 8.39598 121.413 10.07 8.79572 511.382 33.1478 39.425 237.712 10.1059 14.8685 0.158489 0.251189
0.332855 151.498 6.26546 6.22693 95.3383 4.31661 6.75348 340.868 19.5093 25.4395 174.676 6.76727 9.18834 0.251189 0.398107
0.52754 106.246 4.77641 2.86443 71.6798 3.70251 4.02969 222.982 14.1486 12.9756 120.474 3.88148 5.57795 0.398107 0.630957
0.836094 70.4474 3.52637 1.2457 50.6845 3.21283 2.24179 130.719 10.12 3.94093 79.9917 2.90356 2.89251 0.630957 1
1.32512 46.8947 1.69751 0.657627 36.6507 1.37084 1.72094 77.4004 4.00432 2.12527 52.0022 1.89065 1.1097 1 1.58489
2.10017 32.6949 1.08581 0.282326 26.5572 1.08249 0.803692 49.9323 2.26596 1.45788 35.9817 0.837891 0.626629 1.58489 2.51189
3.32855 22.3662 0.912804 0.119129 18.2651 0.937386 0.382578 34.243 1.45273 0.682278 24.4842 0.812059 0.247637 2.51189 3.98107
5.2754 15.8914 0.725335 -0.0469675 12.9954 0.865024 0.0652933 23.7668 0.770077 0.743835 17.4984 0.597235 0.21365 3.98107 6.30957
8.36094 10.268 0.470305 -0.0354719 8.36725 0.549337 0.0124292 15.5823 0.439545 0.487897 11.291 0.415565 0.0703545 6.30957 10
