#Scale: 0.298623
#h: 0.680000
#Stellar mass range: 10^10.50 - 10^11.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 3312.9 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1009.28 7.68207 160.746 681.539 -3.65704 179.046 3645.76 409.465 1151.17 1196.27 89.7417 266.521 0.1 0.158489
0.210017 457.559 30.5644 50.9075 275.529 47.8983 31.8099 1787.99 -111.806 677.678 580.747 58.6116 107.289 0.158489 0.251189
0.332855 232.873 15.9891 19.7583 158.561 29.3255 2.93117 609.353 50.5728 162.191 307.216 3.34946 63.7771 0.251189 0.398107
0.52754 154.533 11.5309 5.95433 130.198 5.32448 15.1628 337.407 42.1705 50.2959 170.277 23.5804 6.90579 0.398107 0.630957
0.836094 107.96 4.23959 4.93706 86.1008 9.27161 2.78796 231.165 -11.2628 55.6301 128.03 3.75479 16.0851 0.630957 1
1.32512 67.7359 5.59328 0.115807 58.4764 4.66161 3.05284 123.102 10.7615 16.6128 75.7787 9.96418 -0.655006 1 1.58489
2.10017 54.0975 1.5727 3.29939 42.4309 1.57148 3.29642 109.008 11.0927 14.8929 66.3742 1.88315 8.63337 1.58489 2.51189
3.32855 35.368 1.12846 1.05876 30.7517 0.614635 2.98875 52.28 6.78091 4.49598 40.9207 2.54885 0.871929 2.51189 3.98107
5.2754 23.7989 0.778353 1.08348 20.0332 1.64384 1.00865 39.4038 -1.40646 8.6797 28.0672 0.796282 2.31049 3.98107 6.30957
8.36094 14.1741 1.13731 0.707253 10.3332 2.11474 0.139028 31.8075 -2.8473 8.93691 18.2801 0.354677 2.29837 6.30957 10
