#Scale: 0.480872
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2057.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 1034.34 179.676 33.4974 251.882 142.533 63.601 1999.62 153.885 302.345 648.197 156.927 34.2036 0.1 0.158489
0.210017 546.006 148.509 15.7555 147.45 89.6694 68.017 988.125 138.078 59.2347 383.645 81.9219 28.4008 0.158489 0.251189
0.332855 331.866 55.1129 7.61237 158.235 45.8864 42.5944 592.582 38.727 49.0713 213.965 49.8209 8.71318 0.251189 0.398107
0.52754 163.124 25.2572 4.86003 43.0312 34.1835 4.46146 258.944 23.2164 24.2719 140.101 14.1805 13.305 0.398107 0.630957
0.836094 109.435 11.4069 3.95829 50.7999 18.3355 4.23373 149.983 16.5743 5.6429 102.513 1.35422 12.4844 0.630957 1
1.32512 69.0048 8.69243 2.47185 39.634 12.437 4.24751 101.837 6.53668 9.72263 56.8661 4.46114 3.46681 1 1.58489
2.10017 52.8464 6.7052 0.102776 37.4339 5.87161 2.60133 69.1711 5.0425 4.63231 47.1027 7.2791 -0.646236 1.58489 2.51189
3.32855 36.3806 3.37211 0.859303 23.8213 3.29904 1.09392 47.3003 1.36081 3.01359 33.3505 3.35011 1.3669 2.51189 3.98107
5.2754 24.1377 2.13666 0.519003 15.9468 3.33838 0.107424 29.4388 2.25508 0.721025 23.4222 1.19189 1.67202 3.98107 6.30957
8.36094 15.4861 0.767222 0.911668 10.929 0.860219 1.36606 20.6782 -0.281322 2.2089 13.5349 1.09025 0.782449 6.30957 10
