#Scale: 0.151810
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 6516.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 3146.31 219.574 1270.48 2558.35 23.595 1917.69 -160 39508.3 0 7896.57 5237.4 5344.08 0.1 0.158489
0.210017 557.963 580.177 -0.971558 245.822 721.76 -101.164 -160 11719.3 0 3047.38 519.533 3207.38 0.158489 0.251189
0.332855 983.306 69.174 354.675 1024.78 -28.8147 450.217 -160 5135.19 0 691.254 986.346 162.855 0.251189 0.398107
0.52754 314.123 131.475 47.3417 311.669 133.468 55.0947 5262.24 -1898.54 5422.24 178.89 540.914 153.708 0.398107 0.630957
0.836094 255.254 46.9181 36.0874 245.423 55.4818 47.2327 -160 1353.52 0 345.93 125.09 219.608 0.630957 1
1.32512 131.557 51.7187 6.48074 130.523 44.857 13.9097 -160 417.735 0 148.835 132.908 57.6218 1 1.58489
2.10017 62.5687 19.7403 5.67772 67.2605 15.8439 14.8656 -160 288.861 0 32.4428 107.017 -15.9017 1.58489 2.51189
3.32855 48.1769 4.35476 11.8019 48.4134 3.47715 16.2818 112.401 244.837 272.401 44.3009 29.0726 33.2487 2.51189 3.98107
5.2754 30.2182 6.19158 5.2243 25.7733 10.8958 0.909952 29.7785 100.52 189.779 65.362 -1.62027 50.1257 3.98107 6.30957
8.36094 19.4652 4.48101 3.64679 18.002 4.52238 3.98644 55.8634 73.9058 74.6314 29.8924 13.2544 15.0168 6.30957 10
