#Scale: 0.480872
#h: 0.680000
#Stellar mass range: 10^10.00 - 10^10.50 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 2057.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 308.407 10.7963 28.9583 192.548 6.13922 18.8203 893.792 65.1675 89.5589 399.699 27.7825 63.41 0.1 0.158489
0.210017 201.182 9.25824 14.8943 125.856 10.7931 10.1652 561.746 53.9019 53.4471 263.693 9.55502 25.9262 0.158489 0.251189
0.332855 129.852 5.16266 8.0601 89.6774 5.29845 7.96332 323.414 33.8091 34.2708 162.995 6.97467 13.9363 0.251189 0.398107
0.52754 86.9857 1.9198 5.69989 66.4876 1.95715 5.99939 176.527 9.79701 18.2426 105.349 1.83284 7.88991 0.398107 0.630957
0.836094 57.3252 1.5005 2.13794 46.7304 1.4559 2.67393 100.018 9.05057 4.90097 67.3829 1.30752 3.77583 0.630957 1
1.32512 41.8404 0.563568 1.49289 34.9876 0.751526 1.72512 67.3846 2.27597 4.2891 48.6724 0.584652 2.592 1 1.58489
2.10017 30.4023 0.45643 0.914049 25.4727 0.756773 0.933792 51.0089 0.778172 3.55603 34.9649 0.315762 1.70268 1.58489 2.51189
3.32855 21.7608 0.0346603 0.803925 18.7686 0.19463 0.865437 33.5465 0.646599 2.15016 24.6443 0.0592098 1.10856 2.51189 3.98107
5.2754 14.7366 0.187184 0.329319 12.7784 0.313705 0.341924 22.1422 0.345396 1.20251 16.672 0.196772 0.567078 3.98107 6.30957
8.36094 9.57344 0.232491 0.160919 8.37457 0.301361 0.164167 14.1239 0.230614 0.846586 10.7558 0.211699 0.283421 6.30957 10
