#Scale: 0.242935
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 4072.3 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 2653.6 2156.63 457.011 547.256 2442.55 -195.924 13495.7 15655.2 13655.7 6038.13 1331.76 4259.5 0.1 0.158489
0.210017 1706.86 652.289 144.826 1529.38 583.662 301.778 5276.43 6499.2 5436.43 1690.64 1094.65 435.399 0.158489 0.251189
0.332855 806.172 17.6772 306.398 288.37 211.807 201.168 10661.4 -3549.79 9243.07 822.338 642.111 211.391 0.251189 0.398107
0.52754 402.166 30.5881 180.617 152.374 106.185 51.0459 3286.47 -688.515 2768.78 622.152 172.229 381.566 0.398107 0.630957
0.836094 122.698 63.6218 6.69507 53.1856 82.5854 6.24734 526.032 295.644 320.045 229.225 77.4762 98.9444 0.630957 1
1.32512 126.049 77.1811 -2.56666 129.975 78.7458 2.06775 -160 545.398 -137.81 149.907 75.6944 58.483 1 1.58489
2.10017 71.4902 39.8355 6.08738 52.5806 40.3428 0.638458 383.643 105.942 193.239 77.499 55.3144 17.9086 1.58489 2.51189
3.32855 62.9627 15.7969 14.684 48.4921 28.0989 5.75388 78.0712 33.4411 63.5312 92.9521 3.76479 44.8203 2.51189 3.98107
5.2754 30.8405 7.29202 4.03168 31.4405 9.43618 5.1552 -30.7575 46.3699 25.2007 36.5156 12.4946 7.13784 3.98107 6.30957
8.36094 15.8615 7.33218 2.93656 6.46243 8.3784 1.82053 54.3849 23.802 29.2666 32.0827 4.47687 11.2083 6.30957 10
