#Scale: 0.151810
#h: 0.680000
#Stellar mass range: 10^11.00 - 10^14.00 Msun
#Assumed pi_max: 80.000000 Mpc/h
#Assumed redshift errors: 6516.8 km/s
#Quenched Threshold: SSFR < 1e-11 / yr.
#All units for R_p and w_p(R_p) are Mpc/h.
#Bin_center(0) W_p(all)(1) Err+(2) Err-(3) W_p(SF)(4) Err+(5) Err-(6) W_p(Q)(7) Err+(8) Err-(9) W_p(SFxQ)(10) Err+(11) Err-(12) Bin_left_edge(13) Bin_right_edge(14) 
0.132512 -160 0 0 -160 0 0 -160 160 0 -160 160 0 0.1 0.158489
0.210017 -160 0 0 -160 0 0 -160 160 0 -160 160 0 0.158489 0.251189
0.332855 -160 0 0 -160 0 0 -160 160 0 -160 160 0 0.251189 0.398107
0.52754 -160 0 0 -160 0 0 -160 160 0 -160 160 0 0.398107 0.630957
0.836094 4355.44 7238.83 4515.44 5404.48 6842.81 5564.48 -160 160 0 -160 160 0 0.630957 1
1.32512 1637.63 -154.852 1797.63 -160 0 0 -160 160 0 9808.67 -2353.71 9968.67 1 1.58489
2.10017 -160 0 0 -160 0 0 -160 160 0 -160 160 0 1.58489 2.51189
3.32855 -160 0 0 -160 0 0 -160 160 0 -160 160 0 2.51189 3.98107
5.2754 -46.5773 72.5245 113.423 -20.2266 69.8867 139.773 -160 160 0 -160 160 0 3.98107 6.30957
8.36094 246.389 0.667297 406.389 229.514 32.0809 389.514 -160 160 0 340.803 0 500.803 6.30957 10
